DLiP-ID,J000N6
DLiP-Mol-ID,27640
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H15ClFN3O2/c1-19(26,11-24-7-6-12-8-14(21)3-5-17(12)24)18(25)23-15-4-2-13(10-22)16(20)9-15/h2-9,26H,11H2,1H3,(H,23,25)/t19-/m0/s1"
Standard Inchi Key(RDKit),ORMBWDQRVIOVFN-IBGZPJMESA-N
Canonical SMILES(RDKit),C[C@](O)(Cn1ccc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),371.799
MW Monoisotopic(RDKit),371.08368262
MolLogP(RDKit),3.69518
XLogP(SDF),
XLogP(CDK),3.227
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),78.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.73368369224094
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,696007.414600779
qed,0.7336836922409401
Chi0,18.896976746569035
Chi1,12.296862180437598
TPSA,78.05000000000001
Chi0n,13.831726957685747
Chi0v,14.587655903704203
Chi1n,7.778965269201686
Chi1v,8.156929742210913
Chi2n,6.181184108517945
Chi2v,6.588384235258551
Chi3n,4.047841524573947
Chi3v,4.360550533062245
Chi4n,2.6616533678411622
Chi4v,2.884453710806329
MolMR,97.31650000000002
MolWt,371.7990000000001
fr_SH,0
Kappa1,17.927461763154692
Kappa2,6.789959227446546
Kappa3,3.543505819690395
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1036.9305363782569
MolLogP,3.6951800000000024
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7914231017392939
SMR_VSA1,14.291479626587346
SMR_VSA2,5.261891554738487
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,19.069544416586886
SMR_VSA6,5.316788604006331
SMR_VSA7,65.06471869732856
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.78100368401334
NHOHCount,2
PEOE_VSA1,14.99041564663839
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.39041504767482
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,49.38830667892189
PEOE_VSA8,22.787154778377698
PEOE_VSA9,17.130841211350898
RingCount,3
SMR_VSA10,34.09843082634864
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,371.08368262000005
NumHDonors,2
PEOE_VSA10,11.886442153838168
PEOE_VSA11,5.601050810983688
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,21.181857582967254
SlogP_VSA3,11.339293589984397
SlogP_VSA4,17.148333708576654
SlogP_VSA5,12.487188691387619
SlogP_VSA6,48.661413050844345
SlogP_VSA7,5.022633313741326
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
