DLiP-ID,C001QK
DLiP-Mol-ID,32773
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17N5O3S4/c1-2-16-21-22-18(29-16)23-30(25,26)14-8-5-12(6-9-14)19-17(27)20-15(24)10-7-13-4-3-11-28-13/h3-11H,2H2,1H3,(H,22,23)(H2,19,20,24,27)/b10-7+"
Standard Inchi Key(RDKit),WTPRTNHBCHQUHY-JXMROGBWSA-N
Canonical SMILES(RDKit),CCc1nnc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)/C=C/c3cccs3)cc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),479.634
MW Monoisotopic(RDKit),479.021423404
MolLogP(RDKit),3.4892
XLogP(SDF),
XLogP(CDK),3.235
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),113.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.351123070920014
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6266202.821047173
qed,0.35112307092001427
Chi0,21.56226716449868
Chi1,14.352505073103423
TPSA,113.08000000000001
Chi0n,15.65542442814014
Chi0v,18.921410751851045
Chi1n,8.643170986462506
Chi1v,12.230731916703386
Chi2n,5.77651065196148
Chi2v,9.9085052887261
Chi3n,3.5923477500941257
Chi3v,7.1010859619229585
Chi4n,2.1888392455276278
Chi4v,4.93486140969165
MolMR,124.25390000000002
MolWt,479.63400000000007
fr_SH,0
Kappa1,22.025066276748507
Kappa2,9.889866474562325
Kappa3,6.161652146054929
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1152.9155661647198
MolLogP,3.489200000000002
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5634127245606322
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,15.514152220608405
SMR_VSA4,0.0
SMR_VSA5,18.24004229813441
SMR_VSA6,10.038883468458419
SMR_VSA7,57.739056178623514
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.66478204742901
NHOHCount,3
PEOE_VSA1,5.316788604006331
PEOE_VSA2,14.83342065253024
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,21.534149494536813
PEOE_VSA6,24.32689014608697
PEOE_VSA7,60.426613285580544
PEOE_VSA8,16.640553575218743
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,72.8293178277568
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,479.0214234040001
NumHDonors,3
PEOE_VSA10,5.007623696852765
PEOE_VSA11,5.112436884724758
PEOE_VSA12,11.03873820919084
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,15.355672072464749
SlogP_VSA2,29.634777215007276
SlogP_VSA3,21.238649960405414
