DLiP-ID,C0001P
DLiP-Mol-ID,30150
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N2O3/c1-19(12-8-4-3-5-9-12)17(22)15-16(21)13-10-6-7-11-14(13)20(2)18(15)23/h3-11,21H,1-2H3"
Standard Inchi Key(RDKit),SGOOQMRIPALTEL-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),308.337
MW Monoisotopic(RDKit),308.116092372
MolLogP(RDKit),2.5207
XLogP(SDF),
XLogP(CDK),4.009
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),62.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.791033793174474
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,193888.90822155224
qed,0.7910337931744736
Chi0,16.560113453385565
Chi1,11.01974450780358
TPSA,62.540000000000006
Chi0n,12.854289790134235
Chi0v,12.854289790134235
Chi1n,7.158743341926259
Chi1v,7.158743341926259
Chi2n,5.304644132687502
Chi2v,5.304644132687502
Chi3n,3.937822562130297
Chi3v,3.937822562130297
Chi4n,2.608753630993525
Chi4v,2.608753630993525
MolMR,90.0293
MolWt,308.337
fr_SH,0
Kappa1,14.84056715861261
Kappa2,5.606314922290351
Kappa3,2.35878431219534
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,945.6330805296541
MolLogP,2.5207000000000006
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.203801020472307
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,7.04767198267719
SMR_VSA5,0.0
SMR_VSA6,11.947581713527669
SMR_VSA7,70.51455918697532
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,132.57171929051478
NHOHCount,1
PEOE_VSA1,14.573536773482537
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,24.26546827384644
PEOE_VSA8,25.168954454502735
PEOE_VSA9,5.516700717616262
RingCount,3
SMR_VSA10,22.497490936116122
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,308.116092372
NumHDonors,1
PEOE_VSA10,11.3129633249809
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.466446624403513
PEOE_VSA14,0.0
SlogP_VSA1,10.459176625902487
SlogP_VSA2,22.628478754660758
SlogP_VSA3,7.04767198267719
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,59.39184080022631
SlogP_VSA7,0.0
