DLiP-ID,J000B3
DLiP-Mol-ID,27113
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H21N5O2/c30-24-20-5-1-2-6-21(20)27-23(22-7-3-4-12-26-22)29(24)18-8-10-19(11-9-18)31-16-15-28-14-13-25-17-28/h1-14,17,23,27H,15-16H2"
Standard Inchi Key(RDKit),HILFCBSUDXXTTG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2NC(c2ccccn2)N1c1ccc(OCCn2ccnc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.465
MW Monoisotopic(RDKit),411.169524912
MolLogP(RDKit),4.1282
XLogP(SDF),
XLogP(CDK),3.329
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.516568778105694
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,PDEδ/KRAS
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,28334724.79686645
qed,0.5165687781056938
Chi0,21.04539482762413
Chi1,15.29282633568371
TPSA,72.28
Chi0n,16.75716883233467
Chi0v,16.75716883233467
Chi1n,10.081241134161736
Chi1v,10.081241134161736
Chi2n,7.1650885851991095
Chi2v,7.1650885851991095
Chi3n,5.1869138232975835
Chi3v,5.1869138232975835
Chi4n,3.6554642587524144
Chi4v,3.6554642587524144
MolMR,118.01620000000001
MolWt,411.4650000000002
fr_SH,0
Kappa1,18.87066760626845
Kappa2,8.314051884858435
Kappa3,3.850711967451371
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1160.3259221815063
MolLogP,4.128200000000002
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.3998115106006759
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,14.53505668968577
SMR_VSA4,0.0
SMR_VSA5,12.710532018047102
SMR_VSA6,16.823580299369727
SMR_VSA7,102.90526802922696
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.49981409461094
NHOHCount,1
PEOE_VSA1,14.620751205597735
PEOE_VSA2,14.678425435869508
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,48.53093654769288
PEOE_VSA8,29.96530326420635
PEOE_VSA9,24.129455967222576
RingCount,5
SMR_VSA10,17.28195227871863
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,411.16952491200004
NumHDonors,1
PEOE_VSA10,12.356393797796823
