DLiP-ID,C101SK
DLiP-Mol-ID,37236
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H29N3O/c1-19-9-8-10-20(2)26(19)30-27(31)25(28-16-15-21-11-4-3-5-12-21)17-22-18-29-24-14-7-6-13-23(22)24/h3-14,18,25,28-29H,15-17H2,1-2H3,(H,30,31)"
Standard Inchi Key(RDKit),QTBHPQXJELWRFR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(C)c1NC(=O)C(Cc1c[nH]c2ccccc12)NCCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.549
MW Monoisotopic(RDKit),411.231062548
MolLogP(RDKit),5.16684
XLogP(SDF),
XLogP(CDK),4.961
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),56.92
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.374745627947633
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,16363699.55359194
qed,0.3747456279476332
Chi0,21.63118126525103
Chi1,15.114193540729628
TPSA,56.92
Chi0n,18.11247240267827
Chi0v,18.11247240267827
Chi1n,10.809783953423748
Chi1v,10.809783953423748
Chi2n,8.061989629240898
Chi2v,8.061989629240898
Chi3n,5.7920088798537845
Chi3v,5.7920088798537845
Chi4n,4.035331654597974
Chi4v,4.035331654597974
MolMR,128.48510000000002
MolWt,411.54900000000015
fr_SH,0
