DLiP-ID,J000ED
DLiP-Mol-ID,27266
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N3O3/c1-31-22-6-3-5-20(14-22)26(30)29(15-18-8-9-18)16-21-13-19(10-11-24(21)32-2)23-17-28-12-4-7-25(28)27-23/h3,5-6,10-11,13-14,17-18H,4,7-9,12,15-16H2,1-2H3"
Standard Inchi Key(RDKit),YLEJBBJFQLXMGW-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(C(=O)N(Cc2cc(-c3cn4c(n3)CCC4)ccc2OC)CC2CC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),431.536
MW Monoisotopic(RDKit),431.220891788
MolLogP(RDKit),4.5659
XLogP(SDF),
XLogP(CDK),4.569
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),56.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.524457001276486
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,35577392.42922526
qed,0.524457001276486
Chi0,22.07877502244374
Chi1,15.639692888434377
TPSA,56.59
Chi0n,18.712285548903928
Chi0v,18.712285548903928
Chi1n,11.310106259352565
Chi1v,11.310106259352565
Chi2n,8.726951481841997
Chi2v,8.726951481841997
Chi3n,6.375350114326821
Chi3v,6.375350114326821
Chi4n,4.431102341664008
Chi4v,4.431102341664008
MolMR,122.99450000000003
MolWt,431.5360000000003
fr_SH,0
Kappa1,20.613146860671563
Kappa2,8.690910220207426
Kappa3,4.219892281059343
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1111.5958286442474
MolLogP,4.5659000000000045
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4437713649393962
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,5.917906046161393
