DLiP-ID,C001GD
DLiP-Mol-ID,32328
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N4O3S2/c1-4-14-11(2)20-18(23-17(14)25)28-10-16(24)22-19-21-15(9-27-19)12-5-7-13(26-3)8-6-12/h5-9H,4,10H2,1-3H3,(H,20,23,25)(H,21,22,24)"
Standard Inchi Key(RDKit),QSIYTNYMBWYHAA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1c(C)nc(SCC(=O)Nc2nc(-c3ccc(OC)cc3)cs2)nc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),416.528
MW Monoisotopic(RDKit),416.0976825
MolLogP(RDKit),3.91592
XLogP(SDF),
XLogP(CDK),3.111
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),97.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.444980675860483
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2471702.689178586
qed,0.4449806758604829
Chi0,20.0956473593183
Chi1,13.494733598291509
TPSA,97.23
Chi0n,15.72281245217651
Chi0v,17.35580561403196
Chi1n,8.588625752645598
Chi1v,10.45387712355398
Chi2n,5.8505564038985804
Chi2v,7.651157896616334
Chi3n,3.9937818629771047
Chi3v,5.598802270156549
Chi4n,2.545287405461797
Chi4v,3.966010036392772
MolMR,111.26750000000003
MolWt,416.5280000000001
fr_SH,0
Kappa1,20.093761049968418
Kappa2,9.026969992639673
Kappa3,4.789251300339059
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,950.5601280847636
MolLogP,3.915920000000003
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.586977926498211
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,25.424732504127967
SMR_VSA6,18.179439752030653
SMR_VSA7,40.90291053085781
SMR_VSA8,0.0
SMR_VSA9,22.886879656264732
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.7768247219756
NHOHCount,2
PEOE_VSA1,15.160178952647085
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.967957041894417
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,11.336785877934737
PEOE_VSA6,18.685622149081738
PEOE_VSA7,37.61002709646307
PEOE_VSA8,22.200893748708367
PEOE_VSA9,18.556579142872785
RingCount,3
SMR_VSA10,34.137409036516694
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,416.0976824999999
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,10.28799496166004
PEOE_VSA12,11.787168065786876
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
