DLiP-ID,T002YN
DLiP-Mol-ID,19471
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8Br2FNO2/c14-9-5-7(6-10(15)12(9)18)17-13(19)8-3-1-2-4-11(8)16/h1-6,18H,(H,17,19)"
Standard Inchi Key(RDKit),JSWFQGKACFMGIG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cc(Br)c(O)c(Br)c1)c1ccccc1F
SMILES(SDF),
MW(SDF),
MW(RDKit),389.018
MW Monoisotopic(RDKit),386.890580916
MolLogP(RDKit),4.3086
XLogP(SDF),
XLogP(CDK),4.344
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.752872306840891
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,17636.57914824849
qed,0.7528723068408913
Chi0,13.991199352633217
Chi1,8.986071002992366
TPSA,49.33
Chi0n,9.453456920129259
Chi0v,12.625449998358667
Chi1n,5.2267284600646295
Chi1v,6.812724999179332
Chi2n,3.7224694182292293
Chi2v,5.431143216578271
Chi3n,2.393245719279622
Chi3v,3.6022222258081302
Chi4n,1.4814639553825184
Chi4v,2.6679201905831955
MolMR,77.86000000000003
MolWt,389.01800000000003
fr_SH,0
Kappa1,14.018545496589201
Kappa2,5.7094465487025845
Kappa3,3.1342616213151935
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,623.2854978673417
MolLogP,4.308600000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2725296659663936
SMR_VSA1,14.291479626587348
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
