DLiP-ID,C0014K
DLiP-Mol-ID,31818
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20N2O2S2/c1-20(2)18-17(15-11-14(24-4)8-9-16(15)21-20)19(25)22(26-18)12-6-5-7-13(10-12)23-3/h5-11,21H,1-4H3"
Standard Inchi Key(RDKit),WUQGIMAERBVRGJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(-n2sc3c(c2=S)-c2cc(OC)ccc2NC3(C)C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),384.526
MW Monoisotopic(RDKit),384.09661988
MolLogP(RDKit),5.61309000000001
XLogP(SDF),
XLogP(CDK),4.613
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),35.42
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.595183294038648
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1056005.404313064
qed,0.5951832940386481
Chi0,18.47432701575866
Chi1,12.441020132781029
TPSA,35.42
Chi0n,15.121658641682792
Chi0v,16.754651803538245
Chi1n,8.32218201994897
Chi1v,9.503826972546806
Chi2n,6.757935248451027
Chi2v,8.100604427487042
Chi3n,4.6066859830369085
Chi3v,6.5819281017636255
