DLiP-ID,T001WO
DLiP-Mol-ID,17847
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26FNO4S/c23-20-13-11-18(12-14-20)9-6-16-28-22(25)21-10-4-5-15-24(21)29(26,27)17-19-7-2-1-3-8-19/h1-3,7-8,11-14,21H,4-6,9-10,15-17H2"
Standard Inchi Key(RDKit),GNJCIHMCJPMIBF-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(OCCCc1ccc(F)cc1)C1CCCCN1S(=O)(=O)Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),419.518
MW Monoisotopic(RDKit),419.156657532
MolLogP(RDKit),3.686
XLogP(SDF),
XLogP(CDK),4.159
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.483639495868835
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,3355407.7894863165
qed,0.48363949586883526
Chi0,20.69202367649561
Chi1,13.954326925336497
TPSA,63.68
Chi0n,16.296776462217142
Chi0v,17.11327304314487
Chi1n,9.900995984904595
Chi1v,11.510161292430997
Chi2n,7.261636665534761
Chi2v,9.183157771580746
Chi3n,5.042322322814905
Chi3v,6.892108489269026
Chi4n,3.5376100303793137
Chi4v,5.3035924529824445
MolMR,109.09080000000003
MolWt,419.5180000000001
fr_SH,0
Kappa1,21.458657844990547
Kappa2,9.982823068707726
Kappa3,6.111604207758054
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,900.1693243819765
MolLogP,3.6860000000000026
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5494352649199001
SMR_VSA1,22.339612169875625
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,43.8988025505248
SMR_VSA6,13.151638370425493
