DLiP-ID,J1005V
DLiP-Mol-ID,36913
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N3O/c1-14-18(19(21-23-14)16-7-5-4-6-8-16)20-13-15-9-11-17(12-10-15)22(2)3/h4-13H,1-3H3"
Standard Inchi Key(RDKit),AMSXQEBGWYWKSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1onc(-c2ccccc2)c1N=Cc1ccc(N(C)C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),305.381
MW Monoisotopic(RDKit),305.152812228
MolLogP(RDKit),4.46662
XLogP(SDF),
XLogP(CDK),4.726
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),41.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.667931235974586
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,257631.80525479012
qed,0.6679312359745857
Chi0,16.233840039752504
Chi1,11.147867045540842
TPSA,41.63
Chi0n,13.52339176886
Chi0v,13.52339176886
Chi1n,7.4808707472276925
Chi1v,7.4808707472276925
Chi2n,5.546157706794923
Chi2v,5.546157706794923
Chi3n,3.6310750194498946
Chi3v,3.6310750194498946
Chi4n,2.302421422538359
Chi4v,2.302421422538359
MolMR,94.69900000000004
MolWt,305.38100000000003
fr_SH,0
Kappa1,15.032579420487952
Kappa2,6.482239874174768
Kappa3,3.3142800042392775
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,802.3909443154583
MolLogP,4.466620000000003
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8943000870691888
SMR_VSA1,4.523094936973348
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,4.992404732635669
SMR_VSA5,6.923737199690624
SMR_VSA6,18.99525369620486
SMR_VSA7,65.92100252672593
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,135.62584969606758
NHOHCount,0
PEOE_VSA1,9.423004667823825
PEOE_VSA2,4.992404732635669
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.62123273635672
PEOE_VSA7,24.619922828310838
PEOE_VSA8,31.560782311270255
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.58937312890244
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,305.152812228
NumHDonors,0
PEOE_VSA10,11.381314269532023
PEOE_VSA11,5.760247418874442
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,25.466607802015144
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.323698910571437
SlogP_VSA6,64.1128032857635
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
