DLiP-ID,C000VC
DLiP-Mol-ID,31429
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H38N2O3/c1-2-3-4-5-6-7-11-14-22(26)24-21(19-25-15-17-28-18-16-25)23(27)20-12-9-8-10-13-20/h8-10,12-13,21,23,27H,2-7,11,14-19H2,1H3,(H,24,26)/t21-,23-/m1/s1"
Standard Inchi Key(RDKit),UYNCFCUHRNOSCN-FYYLOGMGSA-N
Canonical SMILES(RDKit),CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),390.568
MW Monoisotopic(RDKit),390.288243076
MolLogP(RDKit),3.6777
XLogP(SDF),
XLogP(CDK),4.54
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.8
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),13
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.504537809698975
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2086330.3565780977
qed,0.504537809698975
Chi0,20.02888696967908
Chi1,13.702708600407236
TPSA,61.80000000000001
Chi0n,17.444763811680147
Chi0v,17.444763811680147
Chi1n,11.028632269508838
Chi1v,11.028632269508838
Chi2n,7.813828841205112
Chi2v,7.813828841205112
Chi3n,5.434598390398941
Chi3v,5.434598390398941
Chi4n,3.690470265083073
Chi4v,3.690470265083073
MolMR,113.20150000000007
MolWt,390.5680000000001
fr_SH,0
Kappa1,22.854908043613452
Kappa2,13.697406938884058
Kappa3,8.717505318259231
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,531.9087902684679
MolLogP,3.6777000000000024
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8113840087545339
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
