DLiP-ID,C000ZI
DLiP-Mol-ID,31607
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H15NO2/c1-21-16-6-2-4-13(12-16)8-10-15-11-9-14-5-3-7-17(20)18(14)19-15/h2-12,20H,1H3/b10-8+"
Standard Inchi Key(RDKit),SADQNNIVDUABSE-CSKARUKUSA-N
Canonical SMILES(RDKit),COc1cccc(/C=C/c2ccc3cccc(O)c3n2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),277.323
MW Monoisotopic(RDKit),277.11027872
MolLogP(RDKit),4.1194
XLogP(SDF),
XLogP(CDK),3.935
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),42.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.782707870160118
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,88880.28861813666
qed,0.7827078701601184
Chi0,14.656489770562878
Chi1,10.25835149307306
TPSA,42.35
Chi0n,11.653528442549666
Chi0v,11.653528442549666
Chi1n,6.669944174893863
Chi1v,6.669944174893863
Chi2n,4.694922117730857
Chi2v,4.694922117730857
Chi3n,3.2608283163417537
Chi3v,3.2608283163417537
Chi4n,2.1661377382279317
Chi4v,2.1661377382279317
MolMR,85.32980000000002
MolWt,277.323
fr_SH,0
Kappa1,13.18596183949361
Kappa2,5.669952524053512
Kappa3,2.86773533596111
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
