DLiP-ID,T006LY
DLiP-Mol-ID,24222
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H7Br2F2NO2/c14-10-4-9(5-11(15)12(10)19)18-13(20)6-1-7(16)3-8(17)2-6/h1-5,19H,(H,18,20)"
Standard Inchi Key(RDKit),VGJPWAZNELOPNH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cc(Br)c(O)c(Br)c1)c1cc(F)cc(F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.008
MW Monoisotopic(RDKit),404.881159104
MolLogP(RDKit),4.4477
XLogP(SDF),
XLogP(CDK),4.505
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.723681353320037
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,23778.12592351348
qed,0.723681353320037
Chi0,14.861442840636295
Chi1,9.363081100704111
TPSA,49.33
Chi0n,9.75407112394886
Chi0v,12.926064202178267
Chi1n,5.320411234948494
Chi1v,6.906407774063199
Chi2n,3.90074675713264
Chi2v,5.609420555481683
Chi3n,2.3995070609095746
Chi3v,3.608483567438084
Chi4n,1.5258735713339835
Chi4v,2.7123298065346586
MolMR,77.81800000000001
MolWt,407.00800000000004
fr_SH,0
Kappa1,14.92913911377169
Kappa2,5.884696644519412
Kappa3,3.3436638383173527
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,648.8116405882264
MolLogP,4.447700000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2756388027409424
SMR_VSA1,18.681894674262168
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,56.475167547761664
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,129.42522349294063
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.78083009534964
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,56.12535606974514
PEOE_VSA8,17.31720483484217
PEOE_VSA9,8.945439031664828
RingCount,2
SMR_VSA10,43.454453799933766
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
