DLiP-ID,J1009R
DLiP-Mol-ID,37053
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3O3/c1-3-21(4-2)14-9-7-13(8-10-14)20-18(22)16-17(24-12-19-16)15-6-5-11-23-15/h5-12H,3-4H2,1-2H3,(H,20,22)"
Standard Inchi Key(RDKit),KNCGVNOXFFFQTO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2ncoc2-c2ccco2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),325.368
MW Monoisotopic(RDKit),325.142641468
MolLogP(RDKit),4.0331
XLogP(SDF),
XLogP(CDK),2.855
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.740515819029145
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,521388.26199491334
qed,0.7405158190291449
Chi0,16.94094682093905
Chi1,11.723876650462412
TPSA,71.51
Chi0n,13.65218777828161
Chi0v,13.65218777828161
Chi1n,7.862567542448115
Chi1v,7.862567542448115
Chi2n,5.180680458959979
Chi2v,5.180680458959979
Chi3n,3.7812430032872864
Chi3v,3.7812430032872864
Chi4n,2.5251093920801213
