DLiP-ID,C000CA
DLiP-Mol-ID,30600
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10ClNO2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,14H2"
Standard Inchi Key(RDKit),RWIUBJDOESNTFZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),267.737
MW Monoisotopic(RDKit),267.01207724
MolLogP(RDKit),2.755
XLogP(SDF),
XLogP(CDK),2.3
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),60.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.851373496402018
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6953.462595208406
qed,0.8513734964020178
Chi0,12.466255326250886
Chi1,7.998037131279782
TPSA,60.160000000000004
Chi0n,8.79886176710745
Chi0v,10.371287294053632
Chi1n,4.86197340498846
Chi1v,6.72310112559208
Chi2n,3.5263925320536336
Chi2v,5.912510929494237
Chi3n,2.3143399064836268
Chi3v,4.351852155485465
Chi4n,1.3968120380678672
Chi4v,2.7837412211097807
MolMR,67.75820000000002
MolWt,267.737
fr_SH,0
Kappa1,11.95070883212367
Kappa2,4.3906166431714295
Kappa3,2.4275478950957905
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,567.0601341830188
MolLogP,2.755000000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.4961289671937283
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
