DLiP-ID,C001AJ
DLiP-Mol-ID,32084
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H11NO/c1-15-9-6-7-13-11(8-9)10-4-2-3-5-12(10)14-13/h2-8,14H,1H3"
Standard Inchi Key(RDKit),BISIQSCKDZYPLR-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2[nH]c3ccccc3c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),197.237
MW Monoisotopic(RDKit),197.084063972
MolLogP(RDKit),3.3297
XLogP(SDF),
XLogP(CDK),3.446
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),25.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.635554671204451
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6001.849090004752
qed,0.6355546712044507
Chi0,10.25071237662706
Chi1,7.381341395361315
TPSA,25.02
Chi0n,8.449700174791245
Chi0v,8.449700174791245
Chi1n,4.927756576598006
Chi1v,4.927756576598006
Chi2n,3.5820980240971902
Chi2v,3.5820980240971902
Chi3n,2.713309956097996
Chi3v,2.713309956097996
Chi4n,1.9542434564930393
Chi4v,1.9542434564930393
MolMR,62.356700000000025
MolWt,197.237
fr_SH,0
Kappa1,8.356701561792667
Kappa2,3.0209355041650063
Kappa3,1.182248843128362
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,624.5543458274637
MolLogP,3.3297000000000017
