DLiP-ID,C005GC
DLiP-Mol-ID,36570
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H33NO6/c1-12(2)23(30,22(28)29)11-16-19(25)18(21(27)24(16)4)20(26)17-13(3)9-10-14-7-5-6-8-15(14)17/h9-10,12-17,26,30H,5-8,11H2,1-4H3,(H,28,29)/b20-18+/t13-,14+,15-,16+,17-,23+/m1/s1"
Standard Inchi Key(RDKit),DIFKWHRMEGFLSD-DBEUHZBBSA-N
Canonical SMILES(RDKit),CC(C)[C@@](O)(C[C@H]1C(=O)/C(=C(\O)[C@@H]2[C@H](C)C=C[C@@H]3CCCC[C@H]32)C(=O)N1C)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),419.518
MW Monoisotopic(RDKit),419.230787776
MolLogP(RDKit),2.6985
XLogP(SDF),
XLogP(CDK),3.871
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),115.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.273134381663916
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Catenin beta-1/Transcription factor 7
Common Target Pref Name,Catenin beta-1/Transcription factor 7
RDKit Descriptors
Ipc,3468396.530361028
qed,0.27313438166391574
Chi0,22.377950698581348
Chi1,14.001630868142184
TPSA,115.14
Chi0n,18.167935312841166
Chi0v,18.167935312841166
Chi1n,10.88858658528101
Chi1v,10.88858658528101
Chi2n,9.526545666816993
Chi2v,9.526545666816993
Chi3n,7.517112732448337
Chi3v,7.517112732448337
Chi4n,5.415027656228435
Chi4v,5.415027656228435
MolMR,110.50240000000008
MolWt,419.5180000000003
fr_SH,0
Kappa1,22.533316077876822
Kappa2,8.174217597660055
Kappa3,3.5719922699487414
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,799.5150416299331
MolLogP,2.698500000000001
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.965134373911247
SMR_VSA1,29.703193736737582
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,29.589530230806965
SMR_VSA5,64.51821135383358
SMR_VSA6,7.04767198267719
SMR_VSA7,23.484309615393204
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,2
