DLiP-ID,C000VF
DLiP-Mol-ID,31432
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H9Cl2N3/c10-6-2-1-3-7(11)8(6)14-9-12-4-5-13-9/h1-3H,4-5H2,(H2,12,13,14)"
Standard Inchi Key(RDKit),GJSURZIOUXUGAL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1cccc(Cl)c1NC1=NCCN1
SMILES(SDF),
MW(SDF),
MW(RDKit),230.098
MW Monoisotopic(RDKit),229.017352648
MolLogP(RDKit),2.3645
XLogP(SDF),
XLogP(CDK),2.682
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),36.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.776426421107374
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2573.3051524688713
qed,0.7764264211073745
Chi0,9.966255326250886
Chi1,6.770856947829096
TPSA,36.42
Chi0n,7.349406911460386
Chi0v,8.861264803497294
Chi1n,4.265369363225611
Chi1v,5.021298309244066
Chi2n,2.8787628582036415
Chi2v,3.693163111684854
Chi3n,1.8803299545141314
Chi3v,2.5102707428628435
Chi4n,1.2172706962057955
Chi4v,1.7092064959239028
MolMR,60.38940000000001
MolWt,230.09799999999998
fr_SH,0
Kappa1,9.6183800411083
Kappa2,4.067252415616685
Kappa3,1.9375565261202397
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,356.0698580865507
MolLogP,2.3644999999999996
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2296355832661514
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
