DLiP-ID,C001G3
DLiP-Mol-ID,32318
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H16N2O3/c25-17-11-8-15(9-12-17)10-13-21-23-20-7-2-1-6-19(20)22(27)24(21)16-4-3-5-18(26)14-16/h1-14,25-26H/b13-10+"
Standard Inchi Key(RDKit),IKXUBNUNABDBFN-JLHYYAGUSA-N
Canonical SMILES(RDKit),O=c1c2ccccc2nc(/C=C/c2ccc(O)cc2)n1-c1cccc(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),356.381
MW Monoisotopic(RDKit),356.116092372
MolLogP(RDKit),3.9673
XLogP(SDF),
XLogP(CDK),4.652
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.582414458539626
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1859031.7987556034
qed,0.5824144585396257
Chi0,18.80275414050485
Chi1,13.11419354072963
TPSA,75.35
Chi0n,14.280006441118461
Chi0v,14.280006441118461
Chi1n,8.40014001128621
Chi1v,8.40014001128621
Chi2n,6.072431767691576
Chi2v,6.072431767691576
Chi3n,4.207528578372241
Chi3v,4.207528578372241
Chi4n,2.899521848817936
Chi4v,2.899521848817936
MolMR,106.0396
MolWt,356.3810000000001
fr_SH,0
Kappa1,16.59997451191249
Kappa2,6.8018367623600735
Kappa3,3.3033492725392337
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1208.3885409240243
MolLogP,3.9673000000000016
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9331246823858743
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,94.5380648903601
SMR_VSA8,0.0
SMR_VSA9,17.186409941251373
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.66679431289336
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,9.361636831863176
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.407855449141934
PEOE_VSA7,48.03767400930054
PEOE_VSA8,6.06636706846161
PEOE_VSA9,16.590311206764618
RingCount,4
SMR_VSA10,23.054965145748817
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,356.11609237199997
NumHDonors,2
PEOE_VSA10,17.323428164567737
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,5.559266895052007
SlogP_VSA2,19.764132958419978
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,11.387855989696924
SlogP_VSA6,77.59094200561115
SlogP_VSA7,0.0
SlogP_VSA8,28.742351420432378
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,17.058290561619817
EState_VSA3,22.414715704764546
EState_VSA4,5.563451491696996
EState_VSA5,10.633466716252965
EState_VSA6,66.73969079144999
EState_VSA7,12.142387175295491
EState_VSA8,4.9839785209472085
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.4711959876543208
VSA_EState9,63.86213734567902
