DLiP-ID,C101YR
DLiP-Mol-ID,40633
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H11N3O4/c14-7-3-1-2-6-10(7)13(20)16(12(6)19)8-4-5-9(17)15-11(8)18/h1-3,8H,4-5,14H2,(H,15,17,18)"
Standard Inchi Key(RDKit),UVSMNLNDYGZFPF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),273.248
MW Monoisotopic(RDKit),273.074955832
MolLogP(RDKit),-0.33
XLogP(SDF),
XLogP(CDK),-0.56
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),109.57
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.537539172233233
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cereblon/Aiolos
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,41616.46232699646
qed,0.5375391722332333
Chi0,14.438793109825921
Chi1,9.502907755397976
TPSA,109.57
Chi0n,10.381171665676636
Chi0v,10.381171665676636
Chi1n,6.105077952277901
Chi1v,6.105077952277901
Chi2n,4.717007792215138
Chi2v,4.717007792215138
Chi3n,3.500339766025725
Chi3v,3.500339766025725
Chi4n,2.5410785263734397
Chi4v,2.5410785263734397
MolMR,67.5261
MolWt,273.248
fr_SH,0
Kappa1,12.339759456629707
Kappa2,4.156092539947064
Kappa3,1.5942486331140546
fr_ArN,1
fr_COO,0
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,667.5801566907198
MolLogP,-0.3299999999999998
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.999964759030486
SMR_VSA1,19.178148736287287
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,5.733667477162185
SMR_VSA7,29.32600418877882
