DLiP-ID,C001FQ
DLiP-Mol-ID,32305
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N2O6/c1-2-25-18(22)16-15(10-3-5-11(6-4-10)20(23)24)13-8-7-12(21)9-14(13)26-17(16)19/h3-9,15,21H,2,19H2,1H3"
Standard Inchi Key(RDKit),PHTAMBMUQWHXLX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc([N+](=O)[O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),356.334
MW Monoisotopic(RDKit),356.100836232
MolLogP(RDKit),2.5581
XLogP(SDF),
XLogP(CDK),3.451
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),124.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.489738711294484
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,666007.5814718168
qed,0.48973871129448365
Chi0,18.844570503761737
Chi1,12.417922655570505
TPSA,124.92000000000002
Chi0n,13.838927847212416
Chi0v,13.838927847212416
Chi1n,7.838742079016912
Chi1v,7.838742079016912
Chi2n,5.604241896254334
Chi2v,5.604241896254334
Chi3n,4.014783944016391
Chi3v,4.014783944016391
Chi4n,2.8831283666493293
Chi4v,2.8831283666493293
MolMR,91.52060000000002
MolWt,356.3340000000001
fr_SH,0
Kappa1,17.27878542662501
Kappa2,6.751788909775496
Kappa3,3.0395562337377866
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,904.3973794764617
MolLogP,2.5581000000000005
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1558976802377865
SMR_VSA1,24.298101535330293
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,12.841643245852017
SMR_VSA6,6.606881964512918
SMR_VSA7,75.16199491610286
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
