DLiP-ID,C001IK
DLiP-Mol-ID,32429
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13N3S/c1-2-6-13(7-3-1)12-20-16-10-9-15(18-19-16)14-8-4-5-11-17-14/h1-11H,12H2"
Standard Inchi Key(RDKit),JPEGSDRQNOBQEF-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(CSc2ccc(-c3ccccn3)nn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),279.368
MW Monoisotopic(RDKit),279.083018416
MolLogP(RDKit),3.8309
XLogP(SDF),
XLogP(CDK),3.082
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.680302284509858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,70560.7134609469
qed,0.6803022845098581
Chi0,13.62310957574327
Chi1,9.915816237971963
TPSA,38.67
Chi0n,10.807848819236172
Chi0v,11.624345400163898
Chi1n,6.335414293057849
Chi1v,7.321012852711336
Chi2n,4.24606300716244
Chi2v,5.2416897225826355
Chi3n,2.7969423822433765
Chi3v,3.7881118159950913
Chi4n,1.7794105987601232
Chi4v,2.5492366935010513
MolMR,81.26600000000002
MolWt,279.36800000000005
fr_SH,0
Kappa1,12.814692378328742
Kappa2,6.300630971696413
Kappa3,3.2168649613325413
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,654.3218124764634
MolLogP,3.8309000000000033
NOCount,3
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.6769355191496649
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,10.77881358541603
SMR_VSA6,0.0
SMR_VSA7,72.42396574792619
SMR_VSA8,0.0
SMR_VSA9,11.387855989696922
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,121.66104118263114
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,48.16008736016077
PEOE_VSA7,29.828919765543436
PEOE_VSA8,11.949697178359866
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,11.761884949391115
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,279.083018416
NumHDonors,0
PEOE_VSA10,10.719887973517702
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,15.181342137549283
SlogP_VSA3,5.752853606746789
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,71.88647423489843
SlogP_VSA7,0.0
SlogP_VSA8,11.387855989696922
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
