DLiP-ID,I000SJ
DLiP-Mol-ID,28882
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H24N2O2S2/c1-5-19-13-9-15(21)17(7-11(13)3)23-24-18-8-12(4)14(20-6-2)10-16(18)22/h7-10,19-22H,5-6H2,1-4H3"
Standard Inchi Key(RDKit),MXZJVGASZOPOCI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCNc1cc(O)c(SSc2cc(C)c(NCC)cc2O)cc1C
SMILES(SDF),
MW(SDF),
MW(RDKit),364.536
MW Monoisotopic(RDKit),364.127920008
MolLogP(RDKit),5.37764
XLogP(SDF),
XLogP(CDK),4.25
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),64.52
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.494940424839164
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,193413.48455192253
qed,0.4949404248391637
Chi0,17.689869965382485
Chi1,11.45592745803129
TPSA,64.52
Chi0n,14.434538411059243
Chi0v,16.067531572914696
Chi1n,7.952849972948635
Chi1v,10.102679887209693
