DLiP-ID,T003KV
DLiP-Mol-ID,20440
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N2O5S/c1-14(25)24-13-30-12-19(24)21(26)23-18(22(27)28)11-15-7-9-16(10-8-15)17-5-3-4-6-20(17)29-2/h3-10,18-19H,11-13H2,1-2H3,(H,23,26)(H,27,28)/t18-,19+/m0/s1"
Standard Inchi Key(RDKit),LPPNDFOQUKQERO-RBUKOAKNSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)[C@H]2CSCN2C(C)=O)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),428.51
MW Monoisotopic(RDKit),428.140592868
MolLogP(RDKit),2.3955
XLogP(SDF),
XLogP(CDK),2.738
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.703147529848073
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6390964.963383591
qed,0.7031475298480727
Chi0,21.672997628507925
Chi1,14.4010859031649
TPSA,95.94000000000001
Chi0n,16.830491678775136
Chi0v,17.64698825970286
Chi1n,9.508528241386157
Chi1v,10.663228779765408
Chi2n,7.005236578509479
Chi2v,8.005017092053835
Chi3n,5.015759649625764
Chi3v,6.027944604396555
Chi4n,3.3774224156027395
Chi4v,4.595856901533104
MolMR,115.33350000000006
MolWt,428.51000000000016
fr_SH,0
Kappa1,21.702734839476815
Kappa2,9.666864961332541
Kappa3,4.938271604938271
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,931.3800654149329
MolLogP,2.3954999999999993
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7013907347868915
SMR_VSA1,24.227001900856216
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,25.428240480912557
SMR_VSA6,18.73943953775768
