DLiP-ID,T003DR
DLiP-Mol-ID,20129
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H22N4O3/c1-2-13(12-18(24)25)11-17-22-16(23-26-17)7-3-6-15-9-8-14-5-4-10-20-19(14)21-15/h1,8-9,13H,3-7,10-12H2,(H,20,21)(H,24,25)"
Standard Inchi Key(RDKit),KZYLTZUXEHTOHA-UHFFFAOYSA-N
Canonical SMILES(RDKit),C#CC(CC(=O)O)Cc1nc(CCCc2ccc3c(n2)NCCC3)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),354.41
MW Monoisotopic(RDKit),354.169190564
MolLogP(RDKit),2.2646
XLogP(SDF),
XLogP(CDK),1.81
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.701226533030505
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1062245.9190191245
qed,0.7012265330305053
Chi0,18.355160383312143
Chi1,12.635361590784806
TPSA,101.14
Chi0n,14.571606289178446
Chi0v,14.571606289178446
Chi1n,8.858314058998745
Chi1v,8.858314058998745
Chi2n,6.464123706744187
Chi2v,6.464123706744187
Chi3n,4.373008257541325
Chi3v,4.373008257541325
Chi4n,3.021868692611304
Chi4v,3.021868692611304
MolMR,95.65050000000005
MolWt,354.4100000000001
fr_SH,0
Kappa1,17.927461763154692
Kappa2,8.475296594737012
Kappa3,4.819179930898831
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,809.3558344422028
MolLogP,2.2646000000000006
NOCount,7
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.489518349614989
SMR_VSA1,14.424159515885876
SMR_VSA2,0.0
SMR_VSA3,15.124620299019863
SMR_VSA4,5.917906046161393
SMR_VSA5,44.94575136048208
SMR_VSA6,11.861545009918906
SMR_VSA7,35.10524204349451
SMR_VSA8,0.0
SMR_VSA9,12.343784214475903
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
