DLiP-ID,C000YE
DLiP-Mol-ID,31562
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13N3O4/c1-21-13-8-7-11(17(19)20)9-12(13)16-14(18)15-10-5-3-2-4-6-10/h2-9H,1H3,(H2,15,16,18)"
Standard Inchi Key(RDKit),RRTMMOJLZVSKHN-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc([N+](=O)[O-])cc1NC(=O)Nc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),287.275
MW Monoisotopic(RDKit),287.090605896
MolLogP(RDKit),3.2474
XLogP(SDF),
XLogP(CDK),2.289
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),93.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.666361579029557
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,55590.979406864695
qed,0.6663615790295565
Chi0,15.242276208189782
Chi1,10.096555450524587
TPSA,93.5
Chi0n,11.199008910872418
Chi0v,11.199008910872418
Chi1n,6.053969224583359
Chi1v,6.053969224583359
Chi2n,4.0868458410838615
Chi2v,4.0868458410838615
Chi3n,2.6737372393843333
Chi3v,2.6737372393843333
Chi4n,1.713360097843352
Chi4v,1.713360097843352
MolMR,78.73180000000004
MolWt,287.27500000000003
fr_SH,0
Kappa1,14.321870529248594
Kappa2,6.376012222637484
Kappa3,3.69186053084705
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,658.5236253578009
MolLogP,3.2474000000000007
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.1560409761663695
SMR_VSA1,14.45471118668954
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,17.743374749290194
SMR_VSA7,58.645254816458454
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,120.24614897362078
NHOHCount,2
PEOE_VSA1,15.37044016181271
PEOE_VSA2,10.114318268765572
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,18.19910120538483
PEOE_VSA8,17.820120411606784
PEOE_VSA9,17.720494864778765
RingCount,2
SMR_VSA10,23.09327333638876
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,287.09060589600006
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.687386274683562
PEOE_VSA14,6.031114512338072
SlogP_VSA1,15.37044016181271
SlogP_VSA2,18.064223102433274
SlogP_VSA3,0.0
SlogP_VSA4,10.114318268765572
SlogP_VSA5,0.0
SlogP_VSA6,48.53093654769288
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
