DLiP-ID,C003AM
DLiP-Mol-ID,33772
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H16N2O2/c1-3-18-14(17)13-9-15-10-16(13)11(2)12-7-5-4-6-8-12/h4-11H,3H2,1-2H3/t11-/m0/s1"
Standard Inchi Key(RDKit),NPUKDXXFDDZOKR-NSHDSACASA-N
Canonical SMILES(RDKit),CCOC(=O)c1cncn1[C@@H](C)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),244.294
MW Monoisotopic(RDKit),244.121177752
MolLogP(RDKit),2.6691
XLogP(SDF),
XLogP(CDK),2.874
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.776550261358108
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,19286.845681606923
qed,0.776550261358108
Chi0,12.957819157813608
Chi1,8.736382105218446
TPSA,44.12
Chi0n,10.536832706631198
Chi0v,10.536832706631198
Chi1n,5.975816703886056
Chi1v,5.975816703886056
Chi2n,3.9932784487006137
Chi2v,3.9932784487006137
Chi3n,2.8498624796973995
Chi3v,2.8498624796973995
Chi4n,1.8685602741451808
Chi4v,1.8685602741451808
MolMR,68.43850000000003
MolWt,244.294
fr_SH,0
Kappa1,12.35936766919926
Kappa2,5.489653133998208
Kappa3,2.4225751720237536
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,519.6000784462864
MolLogP,2.669100000000001
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.291432767601567
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,19.88931522852921
SMR_VSA6,6.606881964512918
SMR_VSA7,54.11337847523112
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,106.22705511565083
NHOHCount,0
PEOE_VSA1,9.303962601591405
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
