DLiP-ID,J100HV
DLiP-Mol-ID,37345
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N9S2.ClH/c1-4-12-29-18-21-17-20-15(14-8-6-5-7-9-14)13-16(28(17)23-18)30-19-22-24-25-27(19)11-10-26(2)3;/h1,5-9,13H,10-12H2,2-3H3;1H"
Standard Inchi Key(RDKit),UTCZHOPEBGCBDC-UHFFFAOYSA-N
Canonical SMILES(RDKit),C#CCSc1nc2nc(-c3ccccc3)cc(Sc3nnnn3CC[NH+](C)C)n2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),474.019
MW Monoisotopic(RDKit),473.09716132
MolLogP(RDKit),-2.1972
XLogP(SDF),
XLogP(CDK),3.468
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.175128806917183
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,10677563.600477362
qed,0.17512880691718277
Chi0,20.92407448406449
Chi1,14.635361590784807
TPSA,91.11999999999999
Chi0n,16.934942045823643
Chi0v,19.32386415369755
Chi1n,9.2635523035512
Chi1v,11.065647444132413
Chi2n,6.6883952272367155
Chi2v,8.618442831229064
Chi3n,4.132691588532712
Chi3v,5.84973051447177
Chi4n,2.653622015607171
Chi4v,4.028712541079753
MolMR,115.39270000000003
MolWt,474.01900000000023
fr_SH,0
Kappa1,23.022386137565853
Kappa2,10.587946554894073
Kappa3,5.535099308810366
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1184.2821311235173
MolLogP,-2.197199999999997
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,2.7224964269299475e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,0.0
SMR_VSA5,21.88358934822323
SMR_VSA6,26.392953978013743
SMR_VSA7,36.39820241076966
SMR_VSA8,0.0
SMR_VSA9,23.60116370102136
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,193.98755315986386
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,9.499376414562832
PEOE_VSA5,16.620713512222334
PEOE_VSA6,48.014154610554804
PEOE_VSA7,28.255022209162462
PEOE_VSA8,5.563451491696996
PEOE_VSA9,38.63163837877478
RingCount,4
SMR_VSA10,29.301423622701428
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,473.09716132000017
NumHDonors,1
PEOE_VSA10,5.025959978669241
PEOE_VSA11,0.0
PEOE_VSA12,10.312872963641414
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,17.306942892030456
SlogP_VSA2,66.18224565658076
SlogP_VSA3,6.544756405912575
SlogP_VSA4,12.343784214475903
SlogP_VSA5,0.0
SlogP_VSA6,51.737035353080316
SlogP_VSA7,0.0
SlogP_VSA8,17.03503321046465
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
