DLiP-ID,C001I9
DLiP-Mol-ID,32413
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H14N2O2/c1-9-3-4-10(2)15(9)14-13(17)11-5-7-12(16)8-6-11/h3-8,16H,1-2H3,(H,14,17)"
Standard Inchi Key(RDKit),ITIABCNIUVFWHH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C)n1NC(=O)c1ccc(O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),230.267
MW Monoisotopic(RDKit),230.105527688
MolLogP(RDKit),2.19444
XLogP(SDF),
XLogP(CDK),1.841
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),54.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.830517663795914
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8585.324977461118
qed,0.8305176637959136
Chi0,12.41384908344359
Chi1,8.075387400469406
TPSA,54.260000000000005
Chi0n,9.766777096601535
Chi0v,9.766777096601535
Chi1n,5.330602143800726
Chi1v,5.330602143800726
Chi2n,3.9393078528439416
Chi2v,3.9393078528439416
Chi3n,2.613992403973254
Chi3v,2.613992403973254
Chi4n,1.6236970459366649
Chi4v,1.6236970459366649
MolMR,65.70400000000002
MolWt,230.26700000000002
fr_SH,0
Kappa1,11.261208233126077
Kappa2,4.331014857285694
Kappa3,2.304661475011444
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,521.547147502523
MolLogP,2.19444
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.198763655090386
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,4.676102440895408
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,5.425791397110385
SMR_VSA7,53.349509892163574
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,99.47820963244325
NHOHCount,2
PEOE_VSA1,5.106527394840706
PEOE_VSA2,14.896431022077614
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,50.245676810150904
PEOE_VSA8,16.95130748139392
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,230.105527688
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.425791397110385
SlogP_VSA2,15.68980956508762
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,21.74584466546574
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.65669156263541
EState_VSA3,5.563451491696996
EState_VSA4,11.387855989696922
EState_VSA5,12.13273413692322
EState_VSA6,16.808836577818628
