DLiP-ID,T007QJ
DLiP-Mol-ID,25976
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15ClN4O3/c18-14-9-13(6-4-10(14)5-7-15(23)24)21-16(25)11-2-1-3-12(8-11)22-17(19)20/h1-9H,(H,21,25)(H,23,24)(H4,19,20,22)/b7-5+"
Standard Inchi Key(RDKit),YONBLNRYEPLGDQ-FNORWQNLSA-N
Canonical SMILES(RDKit),N=C(N)Nc1cccc(C(=O)Nc2ccc(/C=C/C(=O)O)c(Cl)c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.785
MW Monoisotopic(RDKit),358.08326802
MolLogP(RDKit),2.99547
XLogP(SDF),
XLogP(CDK),2.863
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),128.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.318620715234672
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,285345.2634491575
qed,0.31862071523467156
Chi0,18.39697674656903
Chi1,11.846244348298507
TPSA,128.29999999999998
Chi0n,12.915177341333171
Chi0v,13.671106287351627
Chi1n,7.079597138594733
Chi1v,7.4575616116039605
Chi2n,4.981467007853928
Chi2v,5.388667134594534
Chi3n,3.0675544993670054
Chi3v,3.3948813347209943
Chi4n,1.998077796139926
Chi4v,2.2416145052035374
MolMR,98.05380000000001
MolWt,358.7850000000001
fr_SH,0
Kappa1,18.024957370236617
Kappa2,7.980505050505051
Kappa3,5.363467140133834
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,864.7215062972535
MolLogP,2.995470000000001
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1382783205910254
SMR_VSA1,14.69560176298435
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,10.633577208012662
SMR_VSA7,64.69012588320047
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.1691151080186
NHOHCount,6
PEOE_VSA1,21.47377208001555
PEOE_VSA2,10.203820789863343
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,41.97130694083893
PEOE_VSA8,28.036877461639328
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,46.88777213248071
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,358.08326802
NumHDonors,5
PEOE_VSA10,0.0
PEOE_VSA11,5.959554568743835
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,16.367244685174846
SlogP_VSA2,22.942566980887896
