DLiP-ID,J000AA
DLiP-Mol-ID,27112
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H23N5O2/c1-18-26-14-15-29(18)16-17-32-20-11-9-19(10-12-20)30-24(23-8-4-5-13-27-23)28-22-7-3-2-6-21(22)25(30)31/h2-15,24,28H,16-17H2,1H3"
Standard Inchi Key(RDKit),JJKUKSUXVBVISR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nccn1CCOc1ccc(N2C(=O)c3ccccc3NC2c2ccccn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),425.492
MW Monoisotopic(RDKit),425.185174976
MolLogP(RDKit),4.43662
XLogP(SDF),
XLogP(CDK),3.565
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.494594851001172
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,PDEδ/KRAS
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,39309774.07493761
qed,0.4945948510011718
Chi0,21.915638315627206
Chi1,15.703509938206668
TPSA,72.28
Chi0n,17.679818563145044
Chi0v,17.679818563145044
Chi1n,10.512056950167372
Chi1v,10.512056950167372
Chi2n,7.53242831678169
Chi2v,7.53242831678169
Chi3n,5.534066895920256
Chi3v,5.534066895920256
Chi4n,3.8694437019017904
Chi4v,3.8694437019017904
MolMR,122.7532
MolWt,425.4920000000001
fr_SH,0
Kappa1,19.811081044945595
Kappa2,8.546790204675549
Kappa3,3.8024210313644087
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1220.5879580152011
MolLogP,4.436620000000003
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.3841096462683344
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,14.53505668968577
SMR_VSA4,0.0
SMR_VSA5,19.634269217737728
SMR_VSA6,16.823580299369727
SMR_VSA7,102.40235245246235
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,185.86475620900754
NHOHCount,1
PEOE_VSA1,14.620751205597735
PEOE_VSA2,14.678425435869507
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,55.4546737473835
PEOE_VSA8,29.96530326420635
PEOE_VSA9,17.802135892458033
RingCount,5
SMR_VSA10,17.28195227871863
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,425.18517497600004
NumHDonors,1
PEOE_VSA10,18.180798295796748
PEOE_VSA11,6.165775612134527
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,27.049118383550194
SlogP_VSA3,6.544756405912575
SlogP_VSA4,6.923737199690624
SlogP_VSA5,28.042096780751734
SlogP_VSA6,85.32056846791694
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
