DLiP-ID,C100LZ
DLiP-Mol-ID,35872
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H13BrN2O3/c21-14-6-8-15(9-7-14)23-20(25)17(19(24)22-23)12-16-10-11-18(26-16)13-4-2-1-3-5-13/h1-12H,(H,22,24)/b17-12-"
Standard Inchi Key(RDKit),CYJMCQSXXUBGRZ-ATVHPVEESA-N
Canonical SMILES(RDKit),O=C1NN(c2ccc(Br)cc2)C(=O)/C1=C\c1ccc(-c2ccccc2)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),409.239
MW Monoisotopic(RDKit),408.010954376
MolLogP(RDKit),4.1705
XLogP(SDF),
XLogP(CDK),4.53
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),62.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.52191109767526
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,1528729.4200563391
qed,0.5219110976752597
Chi0,18.0956473593183
Chi1,12.614193540729627
TPSA,62.550000000000004
Chi0n,13.478126170176287
Chi0v,15.064122709290992
Chi1n,7.896383889963739
Chi1v,8.689382159521092
Chi2n,5.683960293922796
Chi2v,6.599635822714487
Chi3n,3.9479831745106484
Chi3v,4.4766486875488845
Chi4n,2.6596004361712606
Chi4v,2.9239331926903778
MolMR,101.8917
MolWt,409.2390000000001
fr_SH,0
Kappa1,16.353929131958466
Kappa2,6.647959509772986
Kappa3,3.0659376569736585
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1007.0502650209589
MolLogP,4.170500000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6136211334117725
SMR_VSA1,14.006225305196992
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.008912523954532
SMR_VSA7,82.53610921785385
SMR_VSA8,0.0
SMR_VSA9,11.323698910571437
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
