DLiP-ID,T001A5
DLiP-Mol-ID,16394
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N2O2/c17-14(15-9-10-6-7-10)12-8-13(18-16-12)11-4-2-1-3-5-11/h1-5,8,10H,6-7,9H2,(H,15,17)"
Standard Inchi Key(RDKit),DPNGERVUMOHKAM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCC1CC1)c1cc(-c2ccccc2)on1
SMILES(SDF),
MW(SDF),
MW(RDKit),242.278
MW Monoisotopic(RDKit),242.105527688
MolLogP(RDKit),2.4814
XLogP(SDF),
XLogP(CDK),2.758
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.895665682668587
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,32194.30685847719
qed,0.8956656826685866
Chi0,12.372032720186704
Chi1,8.826499840494924
TPSA,55.13
Chi0n,9.92648240431471
Chi0v,9.92648240431471
Chi1n,6.130761407746346
Chi1v,6.130761407746346
Chi2n,4.595828996808571
Chi2v,4.595828996808571
Chi3n,3.0493169729716945
Chi3v,3.0493169729716945
Chi4n,1.7702572915665322
Chi4v,1.7702572915665322
MolMR,66.99620000000003
MolWt,242.27800000000002
fr_SH,0
Kappa1,11.017006335632473
Kappa2,4.643197690359834
Kappa3,2.4225751720237536
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,543.9314516585835
MolLogP,2.4814000000000007
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7013068013069133
SMR_VSA1,9.31763212104517
