DLiP-ID,C000NH
DLiP-Mol-ID,31089
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H27N3O3/c1-25-17-7-3-2-6-16(17)21-14-12-20(13-15-21)10-4-5-11-22-18(23)8-9-19(22)24/h2-3,6-7H,4-5,8-15H2,1H3"
Standard Inchi Key(RDKit),MQHOGPLXAXSQAJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccccc1N1CCN(CCCCN2C(=O)CCC2=O)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),345.443
MW Monoisotopic(RDKit),345.205241724
MolLogP(RDKit),1.7464
XLogP(SDF),
XLogP(CDK),1.587
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.55659289199878
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,690257.4445728865
qed,0.55659289199878
Chi0,17.648053602125596
Chi1,12.185871848001629
TPSA,53.09
Chi0n,14.946854546515446
Chi0v,14.946854546515446
Chi1n,9.123264765886795
Chi1v,9.123264765886795
Chi2n,6.646759615223827
Chi2v,6.646759615223827
Chi3n,5.0590488746021505
Chi3v,5.0590488746021505
Chi4n,3.581000151145892
Chi4v,3.581000151145892
MolMR,96.83500000000005
MolWt,345.44300000000015
fr_SH,0
Kappa1,17.733711420687452
Kappa2,8.337814391242432
Kappa3,4.310619833498395
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,595.6868101650595
MolLogP,1.7464
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.3802030120003377
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,51.27824570760346
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.880078739799
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,19.388893829844598
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,31.519133788687814
PEOE_VSA8,45.56542527541489
