DLiP-ID,T002SU
DLiP-Mol-ID,19233
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H22N4O3/c18-16(19)12-7-6-11-9-14(21-13(11)10-12)17(24)20-8-4-2-1-3-5-15(22)23/h6-7,9-10,21H,1-5,8H2,(H3,18,19)(H,20,24)(H,22,23)"
Standard Inchi Key(RDKit),JGKQCWNXJDBDJO-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc2cc(C(=O)NCCCCCCC(=O)O)[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),330.388
MW Monoisotopic(RDKit),330.169190564
MolLogP(RDKit),2.21687
XLogP(SDF),
XLogP(CDK),2.386
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),132.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.273787638525427
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,250105.8611695649
qed,0.27378763852542665
Chi0,17.526733258565955
Chi1,11.46923425058676
TPSA,132.06
Chi0n,13.393102209495101
Chi0v,13.393102209495101
Chi1n,7.943021144897414
Chi1v,7.943021144897414
Chi2n,5.712570420360561
Chi2v,5.712570420360561
Chi3n,3.7810768719511305
Chi3v,3.7810768719511305
Chi4n,2.468840905516111
Chi4v,2.468840905516111
MolMR,92.36880000000002
MolWt,330.388
fr_SH,0
Kappa1,17.52270978816457
Kappa2,8.143282544643442
Kappa3,4.837655632569116
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,751.3736535396696
MolLogP,2.21687
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.8089818609065325
SMR_VSA1,14.69560176298435
SMR_VSA2,5.409283605791522
SMR_VSA3,10.30076712495354
SMR_VSA4,5.733667477162185
SMR_VSA5,32.10410811463005
SMR_VSA6,6.544756405912575
SMR_VSA7,35.5228477603919
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,139.29908893398505
NHOHCount,6
PEOE_VSA1,21.14096199695643
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.97437738277524
PEOE_VSA7,24.974377382775238
PEOE_VSA8,29.431954452616637
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,28.615029735141682
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,330.169190564
NumHDonors,5
PEOE_VSA10,11.52954778060573
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,11.050456081168516
SlogP_VSA2,34.347367124761114
SlogP_VSA3,4.794537184071822
SlogP_VSA4,5.409283605791522
SlogP_VSA5,48.156024785247325
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,18.163621138034785
EState_VSA3,24.222957515384042
EState_VSA4,30.16538980085909
EState_VSA5,0.0
EState_VSA6,18.19910120538483
EState_VSA7,6.06636706846161
EState_VSA8,10.30076712495354
EState_VSA9,16.249478477794412
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
