DLiP-ID,C000XW
DLiP-Mol-ID,31535
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14N2OS/c1-18(13-7-9-14(19)10-8-13)16-17-15(11-20-16)12-5-3-2-4-6-12/h2-11,19H,1H3"
Standard Inchi Key(RDKit),XDKOSPFALAXPJO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(c1ccc(O)cc1)c1nc(-c2ccccc2)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),282.368
MW Monoisotopic(RDKit),282.082684068
MolLogP(RDKit),4.2836
XLogP(SDF),
XLogP(CDK),4.227
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),36.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.778455166181289
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,70460.46142364787
qed,0.7784551661812888
Chi0,13.94938298937633
Chi1,9.737183443017882
TPSA,36.36
Chi0n,11.023391768859998
Chi0v,11.839888349787724
Chi1n,6.275799932040991
Chi1v,7.1554527432958865
Chi2n,4.456760433805246
Chi2v,5.293313326266389
Chi3n,3.0855533785515363
Chi3v,4.002631776634
Chi4n,1.9465063462786911
Chi4v,2.7669091256884926
MolMR,83.71980000000003
MolWt,282.368
fr_SH,0
Kappa1,12.691093079016794
Kappa2,5.346323999786321
Kappa3,2.507883766274862
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,692.0108729873641
MolLogP,4.283600000000002
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.881261956604978
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,11.947581713527669
SMR_VSA7,59.9773663866204
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
