DLiP-ID,T0049M
DLiP-Mol-ID,16545
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H21N5O2/c27-12-20-5-4-18-10-25(20)33-22-7-6-19-2-1-3-24(23(19)11-22)31-9-8-29(16-26(31)32)15-21-13-28-17-30(21)14-18/h1-7,10-11,13,17H,8-9,14-16H2"
Standard Inchi Key(RDKit),NLKNPWNNYCYNKB-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCN(CC1=O)Cc1cncn1C2
SMILES(SDF),
MW(SDF),
MW(RDKit),435.487
MW Monoisotopic(RDKit),435.169524912
MolLogP(RDKit),3.91078
XLogP(SDF),
XLogP(CDK),3.819
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),74.39
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),7
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.418701041394447
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,K-Ras/SOS1
Common Target Pref Name,KRAS/SOS1
RDKit Descriptors
Ipc,70761341.1152467
qed,0.4187010413944471
Chi0,22.363232072819912
Chi1,16.174167731045028
TPSA,74.39000000000001
Chi0n,17.938951425446138
Chi0v,17.938951425446138
Chi1n,10.93195511167748
Chi1v,10.93195511167748
Chi2n,8.473368861549373
Chi2v,8.473368861549373
Chi3n,6.352469450240272
Chi3v,6.352469450240272
Chi4n,4.662542992466293
Chi4v,4.662542992466293
MolMR,124.13800000000005
MolWt,435.4870000000003
fr_SH,0
Kappa1,19.528948964608396
Kappa2,7.764828447368193
Kappa3,3.5066077003121756
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1434.3940893638296
MolLogP,3.9107800000000035
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5217026670436629
SMR_VSA1,9.53140013787187
SMR_VSA2,5.261891554738487
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,13.08951281182515
SMR_VSA6,24.534178948588206
SMR_VSA7,83.94229824077456
SMR_VSA8,0.0
