DLiP-ID,T001IZ
DLiP-Mol-ID,17250
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H25N3O5/c1-31-16-12-15-8-11-26-21(20(15)19(13-16)32-2)17-4-3-5-18(23(26)29)27(17)24(30)22(28)14-6-9-25-10-7-14/h6-7,9-10,12-13,17-18,21H,3-5,8,11H2,1-2H3"
Standard Inchi Key(RDKit),FKCKHHUOKPWTNI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2c(c(OC)c1)C1C3CCCC(C(=O)N1CC2)N3C(=O)C(=O)c1ccncc1
SMILES(SDF),
MW(SDF),
MW(RDKit),435.48
MW Monoisotopic(RDKit),435.1794209
MolLogP(RDKit),2.1708
XLogP(SDF),
XLogP(CDK),1.528
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),89.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.540280936552282
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,26592976.825810265
qed,0.5402809365522822
Chi0,22.4050484360768
Chi1,15.545243855508332
TPSA,89.04
Chi0n,18.114568567458562
Chi0v,18.114568567458562
Chi1n,10.871004165619492
Chi1v,10.871004165619492
Chi2n,8.420410562585268
Chi2v,8.420410562585268
Chi3n,6.884853309539155
Chi3v,6.884853309539155
Chi4n,5.478485672635681
Chi4v,5.478485672635681
MolMR,114.54450000000003
MolWt,435.4800000000002
fr_SH,0
Kappa1,20.48087883025624
Kappa2,7.926677154658225
Kappa3,3.044684397788617
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1069.2923115842402
MolLogP,2.1708
NOCount,8
fr_Ar_N,1
fr_COO2,0
