DLiP-ID,C001OG
DLiP-Mol-ID,32676
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H16FNS/c1-11-6-7-13(17-11)10-16-9-8-12-4-2-3-5-14(12)15/h2-7,16H,8-10H2,1H3"
Standard Inchi Key(RDKit),NZNHJQFNTSWMCR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(CNCCc2ccccc2F)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),249.354
MW Monoisotopic(RDKit),249.098748732
MolLogP(RDKit),3.52792
XLogP(SDF),
XLogP(CDK),2.476
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),12.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.79935241356673
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10885.715895609912
qed,0.7993524135667297
Chi0,12.08757566981053
Chi1,8.25402019542349
TPSA,12.03
Chi0n,9.871634722170489
Chi0v,10.688131303098215
Chi1n,5.749477961054157
Chi1v,6.565974541981883
Chi2n,4.030544905284303
Chi2v,5.402996996365942
Chi3n,2.6241992645335377
Chi3v,3.6248663317317065
Chi4n,1.715921135613794
Chi4v,2.5758809314268487
MolMR,70.86670000000002
MolWt,249.35400000000004
fr_SH,0
Kappa1,12.271751719271379
Kappa2,5.937875459792915
Kappa3,3.648188826913092
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,478.5793783182423
MolLogP,3.5279200000000017
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7506199884244382
SMR_VSA1,4.39041504767482
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,19.88931522852921
SMR_VSA6,6.544756405912575
SMR_VSA7,57.53316913091515
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.30402664009321
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,0.0
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,18.19910120538483
PEOE_VSA7,43.651867925611036
PEOE_VSA8,16.299050793315175
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,11.336785877934737
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,249.098748732
NumHDonors,1
PEOE_VSA10,5.817220841045895
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
