DLiP-ID,C000VM
DLiP-Mol-ID,31439
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10ClN3O2S/c14-10-2-5-12(6-3-10)20(18,19)17-11-4-1-9-8-15-16-13(9)7-11/h1-8,17H,(H,15,16)"
Standard Inchi Key(RDKit),ALCTZFTWBPOPAW-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),307.762
MW Monoisotopic(RDKit),307.01822524
MolLogP(RDKit),3.0171
XLogP(SDF),
XLogP(CDK),3.775
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.780751119313504
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,50710.83530108343
qed,0.7807511193135045
Chi0,14.164925939000156
Chi1,9.54364332281354
TPSA,74.85
Chi0n,10.168725093417782
Chi0v,11.741150620363964
Chi1n,5.764528801749898
Chi1v,7.625656522353519
Chi2n,4.218254336186403
Chi2v,6.337092358067905
Chi3n,2.8116442951183767
Chi3v,4.460819576967187
Chi4n,1.8252258949928901
Chi4v,3.0007210988290107
MolMR,78.35420000000002
MolWt,307.76200000000006
fr_SH,0
Kappa1,12.957405732376051
Kappa2,4.807257922915487
Kappa3,2.4752525252525244
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,856.713470514031
MolLogP,3.017100000000001
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9379864297406368
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,4.722094864452088
SMR_VSA7,53.68404636458567
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.18132813056656
NHOHCount,2
PEOE_VSA1,0.0
PEOE_VSA2,9.820776672753126
PEOE_VSA3,8.417796984328938
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,42.46456947923127
PEOE_VSA8,16.6057010998192
PEOE_VSA9,16.0995704678176
RingCount,3
SMR_VSA10,38.21454225040472
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,307.01822524
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,18.615160600931013
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,53.556896526362124
SlogP_VSA7,5.022633313741326
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,4.895483475517775
EState_VSA3,16.226720306041152
EState_VSA4,5.386224214464796
