DLiP-ID,J0004I
DLiP-Mol-ID,26874
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H35N3O2/c1-4-8-20(3)27-15-13-22(14-16-27)28(18-21-9-6-5-7-10-21)25(30)26-24-12-11-23(29)17-19(24)2/h5-7,9-12,17,20,22,29H,4,8,13-16,18H2,1-3H3,(H,26,30)"
Standard Inchi Key(RDKit),WRDQLXBMQJSZJO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(O)cc2C)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),409.574
MW Monoisotopic(RDKit),409.27292736
MolLogP(RDKit),5.38772000000001
XLogP(SDF),
XLogP(CDK),4.794
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),55.81
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.603128571009998
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,5489695.874561577
qed,0.603128571009998
Chi0,21.509860921691395
Chi1,14.473565548236332
TPSA,55.81
Chi0n,18.47313923716583
Chi0v,18.47313923716583
Chi1n,11.127891604873303
Chi1v,11.127891604873303
Chi2n,8.447715855334534
Chi2v,8.447715855334534
