DLiP-ID,C003RA
DLiP-Mol-ID,31991
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H21N3O3S/c1-22(2)26(24,25)14-7-8-18-15(11-14)16(19(23)21-18)10-13-9-12-5-3-4-6-17(12)20-13/h7-11,20H,3-6H2,1-2H3,(H,21,23)/b16-10-"
Standard Inchi Key(RDKit),LOGJQOUIVKBFGH-YBEGLDIGSA-N
Canonical SMILES(RDKit),CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),371.462
MW Monoisotopic(RDKit),371.130362532
MolLogP(RDKit),2.6365
XLogP(SDF),
XLogP(CDK),2.069
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.813951952274787
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Guanine nucleotide-binding protein G(i) subunit alpha-1/Regulator of G-protein signaling 12
Common Target Pref Name,Guanine nucleotide-binding protein G(i) subunit alpha-1/Regulator of G-protein signaling 12
RDKit Descriptors
Ipc,1078656.4619134644
qed,0.8139519522747874
Chi0,18.47432701575866
Chi1,12.35821047658592
TPSA,82.27000000000001
Chi0n,14.795385228049733
Chi0v,15.611881808977458
Chi1n,8.668424191910553
Chi1v,10.108487520711192
Chi2n,6.942533199169607
Chi2v,9.094367142957173
Chi3n,4.987914560791655
Chi3v,6.799000310285059
Chi4n,3.543743181003684
Chi4v,4.47217155989174
MolMR,101.25020000000005
MolWt,371.4620000000002
fr_SH,0
Kappa1,17.054892730196702
Kappa2,6.103793439233394
Kappa3,2.7687675961948215
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1008.7939382003416
MolLogP,2.6365000000000007
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7782512101840597
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,9.289194512243443
SMR_VSA4,0.0
SMR_VSA5,30.578769967221813
SMR_VSA6,19.41213256936071
SMR_VSA7,46.78022724693735
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,152.51286528317232
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,4.794537184071822
PEOE_VSA3,12.72301297562517
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,61.588226364081365
PEOE_VSA8,36.73403772143186
PEOE_VSA9,10.468588005587042
RingCount,4
SMR_VSA10,33.266981794345796
fr_Al_COO,0
