DLiP-ID,T002RK
DLiP-Mol-ID,19171
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H15FN2O4/c22-16-9-7-15(8-10-16)21(26)19-4-2-1-3-18(19)20(25)23(21)13-14-5-11-17(12-6-14)24(27)28/h1-12,26H,13H2"
Standard Inchi Key(RDKit),JDQPEVSGVBTFKP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(O)(c2ccc(F)cc2)N1Cc1ccc([N+](=O)[O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),378.359
MW Monoisotopic(RDKit),378.10158518
MolLogP(RDKit),3.5833
XLogP(SDF),
XLogP(CDK),4.114
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.555549182079482
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,2758237.3733953717
qed,0.5555491820794818
Chi0,19.888540578131753
Chi1,13.407739299442635
TPSA,83.67999999999999
Chi0n,14.579660142362751
Chi0v,14.579660142362751
Chi1n,8.542547780298147
Chi1v,8.542547780298147
Chi2n,6.5395449799182765
Chi2v,6.5395449799182765
Chi3n,4.903429967373482
Chi3v,4.903429967373482
Chi4n,3.4968484625732654
Chi4v,3.4968484625732654
MolMR,98.81070000000001
MolWt,378.3590000000001
fr_SH,0
Kappa1,17.814947226624657
Kappa2,6.5420939834941265
Kappa3,2.7268102450196117
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1066.523510461581
