DLiP-ID,T001KD
DLiP-Mol-ID,17319
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H10Cl3NO3/c1-24-11-5-2-9(3-6-11)14-15(20)17(23)21(16(14)22)10-4-7-12(18)13(19)8-10/h2-8H,1H3"
Standard Inchi Key(RDKit),FNKBEGHNLRZRKZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),382.63
MW Monoisotopic(RDKit),380.97262622
MolLogP(RDKit),4.5253
XLogP(SDF),
XLogP(CDK),4.626
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),46.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.733014094696032
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rad51/BRCA2
Common Target Pref Name,Rad51/BRCA2
RDKit Descriptors
Ipc,294930.1215422945
qed,0.7330140946960315
Chi0,17.430356941388638
Chi1,11.434759407976111
TPSA,46.61
Chi0n,12.347303770246612
Chi0v,14.615090608301976
Chi1n,6.817788905681939
Chi1v,7.951682324709623
Chi2n,4.961610820548798
Chi2v,6.153975547039238
Chi3n,3.567380686079161
Chi3v,4.657059301775687
Chi4n,2.3695309819825265
Chi4v,2.936320615511361
MolMR,94.72200000000001
MolWt,382.63000000000005
fr_SH,0
Kappa1,16.834088677354625
Kappa2,6.475515295108758
Kappa3,2.77263499016781
fr_ArN,0
fr_COO,0
