DLiP-ID,C003FB
DLiP-Mol-ID,33941
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H7ClN2/c7-4-1-2-5(8)6(9)3-4/h1-3H,8-9H2"
Standard Inchi Key(RDKit),BXIXXXYDDJVHDL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1ccc(Cl)cc1N
SMILES(SDF),
MW(SDF),
MW(RDKit),142.589
MW Monoisotopic(RDKit),142.029775904
MolLogP(RDKit),1.5044
XLogP(SDF),
XLogP(CDK),1.01
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),52.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.539786698181715
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,104.20091930659319
qed,0.5397866981817153
Chi0,6.8533711511285205
Chi1,4.198377302757663
TPSA,52.04
Chi0n,4.764715818957356
Chi0v,5.5206447649758115
Chi1n,2.5043663774068246
Chi1v,2.8823308504160523
Chi2n,1.7732390600563586
Chi2v,2.209674840528343
Chi3n,1.0488340914391148
Chi3v,1.2839311942268532
Chi4n,0.54561311637585
Chi4v,0.7261557466045906
MolMR,40.2768
MolWt,142.589
fr_SH,0
Kappa1,6.233304562268803
Kappa2,2.1504230342026096
Kappa3,1.2659691269337427
fr_ArN,2
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,222.29788705001033
MolLogP,1.5044
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.171678030440915
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,11.46733495432437
SMR_VSA7,23.221734519126155
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
