DLiP-ID,P000FC
DLiP-Mol-ID,25643
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12N4S/c1-10-17-18-13-9-16-14(11-5-3-2-4-6-11)12-7-8-20-15(12)19(10)13/h2-8H,9H2,1H3"
Standard Inchi Key(RDKit),SIRFTOWPWPCSOP-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nnc2n1-c1sccc1C(c1ccccc1)=NC2
SMILES(SDF),
MW(SDF),
MW(RDKit),280.356
MW Monoisotopic(RDKit),280.078267384
MolLogP(RDKit),2.98822
XLogP(SDF),
XLogP(CDK),4.387
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.687470845230487
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,94627.84497248787
qed,0.6874708452304872
Chi0,13.526733258565956
Chi1,9.843336592900531
TPSA,43.07
Chi0n,10.945661337977626
Chi0v,11.762157918905352
Chi1n,6.433940419188539
Chi1v,7.313593230443432
Chi2n,4.669139785048695
Chi2v,5.563705903487106
Chi3n,3.4206906827662342
Chi3v,4.318603983927627
Chi4n,2.5052122868670503
Chi4v,3.4728145159275923
MolMR,79.75800000000004
MolWt,280.35600000000005
fr_SH,0
Kappa1,11.547873381349206
Kappa2,4.383573226136674
Kappa3,1.6320438134843802
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,798.405177929776
MolLogP,2.988220000000001
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9614996636286233
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.76446326439343
SMR_VSA4,4.992404732635669
SMR_VSA5,13.4684936056032
SMR_VSA6,0.0
SMR_VSA7,64.55397716062942
SMR_VSA8,0.0
SMR_VSA9,5.001081976687867
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
