DLiP-ID,T0020B
DLiP-Mol-ID,18007
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26N4O5S/c1-30-16-7-8-17-14(12-16)10-11-25-21(17)18-4-3-5-19(22(25)27)26(18)32(28,29)24-15-6-9-20(31-2)23-13-15/h6-9,12-13,18-19,21,24H,3-5,10-11H2,1-2H3"
Standard Inchi Key(RDKit),GWGHONLCHRTMPN-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(c1)CCN1C(=O)C3CCCC(C21)N3S(=O)(=O)Nc1ccc(OC)nc1
SMILES(SDF),
MW(SDF),
MW(RDKit),458.54
MW Monoisotopic(RDKit),458.162390932
MolLogP(RDKit),2.1182
XLogP(SDF),
XLogP(CDK),1.902
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),101.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.736657119484694
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,22156278.27814496
qed,0.7366571194846945
Chi0,22.457454678884094
Chi1,15.424183380375423
