DLiP-ID,I000AJ
DLiP-Mol-ID,28120
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20ClN3O4/c1-30-17-8-7-16(23)19-18(17)15(13-24-19)20(27)22(29)26-11-9-25(10-12-26)21(28)14-5-3-2-4-6-14/h2-8,13,24H,9-12H2,1H3"
Standard Inchi Key(RDKit),FCDQSRYKNBOBTQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(Cl)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),425.872
MW Monoisotopic(RDKit),425.1142338
MolLogP(RDKit),2.9972
XLogP(SDF),
XLogP(CDK),3.369
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.514247510283256
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,9753080.668177275
qed,0.5142475102832562
Chi0,21.250347897697544
Chi1,14.507239053047545
TPSA,82.71000000000001
Chi0n,16.352614104127795
Chi0v,17.10854305014625
Chi1n,9.524569241699055
Chi1v,9.902533714708282
Chi2n,6.981547144900617
Chi2v,7.388747271641223
Chi3n,5.280062235040664
Chi3v,5.59503262921502
Chi4n,3.6670759272197193
Chi4v,3.8791155968658946
MolMR,113.11670000000001
MolWt,425.87200000000024
fr_SH,0
Kappa1,19.97321931691865
Kappa2,8.198229481141569
Kappa3,3.522496545494604
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1118.1180020026693
MolLogP,2.997200000000001
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4863319586584782
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,33.288823164927834
SMR_VSA7,64.81094934797966
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.71407313688073
NHOHCount,1
PEOE_VSA1,19.520660936448213
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.800041095617345
PEOE_VSA7,24.26546827384644
PEOE_VSA8,37.93932068696037
PEOE_VSA9,28.59880727879691
RingCount,4
SMR_VSA10,40.10146922738152
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,425.11423379999997
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.59760440506795
