DLiP-ID,C101CO
DLiP-Mol-ID,20213
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16N2O2/c22-13-15-10-11-18(23-15)19-16-8-4-5-9-17(16)21(20-19)12-14-6-2-1-3-7-14/h1-11,22H,12-13H2"
Standard Inchi Key(RDKit),OQQVFCKUDYMWGV-UHFFFAOYSA-N
Canonical SMILES(RDKit),OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),304.349
MW Monoisotopic(RDKit),304.121177752
MolLogP(RDKit),3.8369
XLogP(SDF),
XLogP(CDK),3.42
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.623040533995012
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF1A/p300/CREB-binding protein
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,457597.2373298687
qed,0.6230405339950118
Chi0,15.6480536021256
Chi1,11.347667890550102
TPSA,51.190000000000005
Chi0n,12.51495560042272
Chi0v,12.51495560042272
Chi1n,7.543741673419588
Chi1v,7.543741673419588
Chi2n,5.433076439887434
Chi2v,5.433076439887434
Chi3n,3.884008166178434
Chi3v,3.884008166178434
Chi4n,2.7764630983213525
Chi4v,2.7764630983213525
MolMR,88.90180000000004
MolWt,304.34900000000005
fr_SH,0
Kappa1,13.788296582061772
Kappa2,5.7405693986609645
Kappa3,2.533574229490279
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,938.3353597104987
MolLogP,3.8369000000000026
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.826682315921016
SMR_VSA1,9.523678331894054
SMR_VSA2,0.0
SMR_VSA3,9.780484743446223
SMR_VSA4,0.0
SMR_VSA5,13.151638370425493
SMR_VSA6,0.0
SMR_VSA7,78.05373666364916
SMR_VSA8,0.0
SMR_VSA9,11.454175413722904
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.15293676538718
NHOHCount,1
PEOE_VSA1,9.523678331894054
PEOE_VSA2,4.681802935145185
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,23.762552697081826
PEOE_VSA8,5.386224214464796
PEOE_VSA9,12.061457123528836
RingCount,4
SMR_VSA10,10.902924932081056
fr_Al_COO,0
fr_Ar_COO,0
