DLiP-ID,C000SV
DLiP-Mol-ID,31311
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H13N3O/c22-18-15(14-8-4-5-9-16(14)21-18)10-13-11-19-17(20-13)12-6-2-1-3-7-12/h1-11H,(H,19,20)(H,21,22)/b15-10-"
Standard Inchi Key(RDKit),FBXNYCPVKALBHC-GDNBJRDFSA-N
Canonical SMILES(RDKit),O=C1Nc2ccccc2/C1=C/c1c[nH]c(-c2ccccc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),287.322
MW Monoisotopic(RDKit),287.105862036
MolLogP(RDKit),3.5694
XLogP(SDF),
XLogP(CDK),3.318
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.707862474895191
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,264634.6755338275
qed,0.7078624748951913
Chi0,14.940946820939052
Chi1,10.809663088089316
TPSA,57.78
Chi0n,11.706314847049708
Chi0v,11.706314847049708
Chi1n,7.044072150823727
Chi1v,7.044072150823727
Chi2n,5.09769692052491
Chi2v,5.09769692052491
Chi3n,3.647181433288098
Chi3v,3.647181433288098
Chi4n,2.5839226594889984
Chi4v,2.5839226594889984
MolMR,86.96640000000001
MolWt,287.322
fr_SH,0
Kappa1,12.58937825252438
Kappa2,5.001555037753448
Kappa3,2.107392343028263
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,878.1126311725845
MolLogP,3.5694000000000017
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7239320035370174
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,72.05152667431302
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.08517637471397
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,12.142387175295491
PEOE_VSA8,23.01113282969063
PEOE_VSA9,11.267032524917727
RingCount,4
SMR_VSA10,23.243690640938215
