DLiP-ID,C100PX
DLiP-Mol-ID,35938
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N8O2/c24-23(25)13-6-2-5-12(8-13)22-9-14(16-21-22)10-3-1-4-11(7-10)15-17-19-20-18-15/h1-9H,(H,17,18,19,20)"
Standard Inchi Key(RDKit),GEINAMUTAQWFKJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1cccc(-n2cc(-c3cccc(-c4nnn[nH]4)c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),334.299
MW Monoisotopic(RDKit),334.09267156
MolLogP(RDKit),2.0226
XLogP(SDF),
XLogP(CDK),3.707
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),128.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.446284626700186
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,1141735.745465208
qed,0.4462846267001859
Chi0,17.225403871315223
Chi1,12.203509938206668
TPSA,128.31
Chi0n,12.643144172134068
Chi0v,12.643144172134068
Chi1n,7.222790794853819
Chi1v,7.222790794853819
Chi2n,5.155971470612908
Chi2v,5.155971470612908
Chi3n,3.5756028975348886
Chi3v,3.5756028975348886
Chi4n,2.3786401585319457
Chi4v,2.3786401585319457
MolMR,86.6211
MolWt,334.299
fr_SH,0
Kappa1,14.63021447002736
Kappa2,5.922816701634716
Kappa3,2.8293195823375976
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,7
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1041.1430830943625
MolLogP,2.0225999999999993
NOCount,10
fr_Ar_N,7
fr_COO2,0
fr_urea,0
BalabanJ,1.6905034873893319
SMR_VSA1,4.923311048817671
SMR_VSA2,0.0
SMR_VSA3,35.6180036470129
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,64.84209838807153
SMR_VSA8,0.0
SMR_VSA9,28.332621750925938
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
