DLiP-ID,P000KU
DLiP-Mol-ID,26624
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27NO4/c1-15-21(23(24(27)28)30-25(2,3)4)22(18-9-5-6-10-19(18)26-15)17-11-12-20-16(14-17)8-7-13-29-20/h5-6,9-12,14,23H,7-8,13H2,1-4H3,(H,27,28)/t23-/m0/s1"
Standard Inchi Key(RDKit),ZFERZAMPQIXCPM-QHCPKHFHSA-N
Canonical SMILES(RDKit),Cc1nc2ccccc2c(-c2ccc3c(c2)CCCO3)c1[C@H](OC(C)(C)C)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),405.494
MW Monoisotopic(RDKit),405.194008344
MolLogP(RDKit),5.47602000000001
XLogP(SDF),
XLogP(CDK),4.754
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.65
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.622742508759024
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,5097181.61433927
qed,0.6227425087590244
Chi0,21.465890847321383
Chi1,14.243002059931314
TPSA,68.65
Chi0n,17.859294559468154
Chi0v,17.859294559468154
Chi1n,10.303858024621173
Chi1v,10.303858024621173
Chi2n,8.726055833055923
Chi2v,8.726055833055923
Chi3n,5.275736947461151
Chi3v,5.275736947461151
Chi4n,4.08349138380927
Chi4v,4.08349138380927
MolMR,116.94680000000007
MolWt,405.49400000000014
fr_SH,0
Kappa1,20.356737211407875
Kappa2,7.725697699652777
Kappa3,3.8980054371670114
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1114.0671005098318
MolLogP,5.4760200000000046
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.011343755919408
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,52.2416092433465
SMR_VSA6,6.606881964512918
SMR_VSA7,59.28540045747372
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.21624613993313
NHOHCount,1
PEOE_VSA1,14.580253302440804
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,75.42604772509033
PEOE_VSA8,16.643603701010253
PEOE_VSA9,17.72463349311287
RingCount,4
SMR_VSA10,16.872230220032904
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,405.19400834399994
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,6.103966387748303
PEOE_VSA12,0.0
PEOE_VSA13,0.0
