DLiP-ID,C004E1
DLiP-Mol-ID,35191
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H28Cl2N2O3/c1-4-18(5-2)28-22(20-10-9-17(26)14-27-20)19(15-7-6-8-16(25)11-15)12-24(3,23(28)31)13-21(29)30/h6-11,14,18-19,22H,4-5,12-13H2,1-3H3,(H,29,30)/t19-,22+,24+/m0/s1"
Standard Inchi Key(RDKit),HXNJZIAOEZPASL-BPUDTRNYSA-N
Canonical SMILES(RDKit),CCC(CC)N1C(=O)[C@@](C)(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@@H]1c1ccc(Cl)cn1
SMILES(SDF),
MW(SDF),
MW(RDKit),463.405
MW Monoisotopic(RDKit),462.147698116
MolLogP(RDKit),6.11520000000001
XLogP(SDF),
XLogP(CDK),4.672
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),70.5
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.537557402924682
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,5970023.680278591
qed,0.5375574029246825
Chi0,22.758784066134826
Chi1,14.695726309668945
TPSA,70.5
Chi0n,18.015996130088507
Chi0v,19.527854022125414
Chi1n,10.612657976195667
Chi1v,11.368586922214122
Chi2n,8.525660561374625
Chi2v,9.398532122318594
Chi3n,6.309483272188185
Chi3v,6.76815853994052
Chi4n,4.820953368542796
Chi4v,5.131469905440167
MolMR,122.37380000000005
MolWt,463.40500000000003
fr_SH,0
Kappa1,23.55096753473436
Kappa2,9.576217541724954
Kappa3,4.880582403208294
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,946.0955246191872
MolLogP,6.115200000000006
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.2208473849444994
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,5.41499046939678
SMR_VSA5,64.45608579523322
SMR_VSA6,0.0
SMR_VSA7,63.897692096410836
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
