DLiP-ID,T001RD
DLiP-Mol-ID,17615
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H15NO2S5/c1-12(2)5-4-7-6-8(14-3)9(13)11-10(7)15-17-19-18-16-11/h6,13H,4-5H2,1-3H3"
Standard Inchi Key(RDKit),GDCGVOKHENOREK-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(CCN(C)C)c2c(c1O)SSSSS2
SMILES(SDF),
MW(SDF),
MW(RDKit),353.581
MW Monoisotopic(RDKit),352.97063372
MolLogP(RDKit),4.5623
XLogP(SDF),
XLogP(CDK),2.365
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),32.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.788730543588892
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,22258.74799924692
qed,0.7887305435888917
Chi0,13.828062645816686
Chi1,9.130228955335799
TPSA,32.7
Chi0n,10.835480765345816
Chi0v,14.917963669984447
Chi1n,5.552452807375958
Chi1v,11.702282721637015
Chi2n,4.168872715862496
Chi2v,11.625930406153774
Chi3n,2.5902061638482445
Chi3v,11.130055208563348
Chi4n,1.6186024234596705
Chi4v,10.805346613657509
MolMR,91.40380000000002
MolWt,353.581
fr_SH,0
Kappa1,15.910183301307368
Kappa2,7.513232504407898
Kappa3,4.010797277588722
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,455.2019522406533
MolLogP,4.562300000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
