DLiP-ID,T002VK
DLiP-Mol-ID,19343
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10ClN5/c16-14-11-7-9-3-1-2-4-10(9)8-12(11)15(21-20-14)18-13-5-6-17-19-13/h1-8H,(H2,17,18,19,21)"
Standard Inchi Key(RDKit),JMVNGIKKZXPWAY-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1nnc(Nc2cc[nH]n2)c2cc3ccccc3cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),295.733
MW Monoisotopic(RDKit),295.062473
MolLogP(RDKit),3.9031
XLogP(SDF),
XLogP(CDK),4.218
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.550370959390404
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,SOD1 dimer
Common Target Pref Name,SOD1 dimer
RDKit Descriptors
Ipc,152176.72073824046
qed,0.5503709593904041
Chi0,14.233840039752504
Chi1,10.309663088089318
TPSA,66.49000000000001
Chi0n,10.83840741302611
Chi0v,11.594336359044565
Chi1n,6.426143837596367
Chi1v,6.804108310605595
Chi2n,4.668835847578491
Chi2v,5.026848935028807
Chi3n,3.3482408581452567
Chi3v,3.627433816117406
Chi4n,2.3520683869273324
Chi4v,2.5462193384724054
MolMR,83.92440000000002
MolWt,295.73300000000006
fr_SH,0
Kappa1,12.109011382630838
Kappa2,4.713627004641437
Kappa3,2.0754316473211363
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,933.5215539642677
MolLogP,3.903100000000001
NOCount,5
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.982727404146623
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,20.39472723320415
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,53.81452286773714
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,124.50996630018442
NHOHCount,2
