DLiP-ID,C000GM
DLiP-Mol-ID,30785
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)"
Standard Inchi Key(RDKit),FFBDFADSZUINTG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),304.394
MW Monoisotopic(RDKit),304.189926008
MolLogP(RDKit),2.3639
XLogP(SDF),
XLogP(CDK),4.689
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.921331773954593
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,167190.3848627392
qed,0.9213317739545932
Chi0,15.689869965382487
Chi1,10.668233757796587
TPSA,72.68
Chi0n,13.392341886109609
Chi0v,13.392341886109609
Chi1n,8.401729886893047
Chi1v,8.401729886893047
Chi2n,6.193033758632946
Chi2v,6.193033758632946
Chi3n,4.515822234154388
Chi3v,4.515822234154388
Chi4n,3.42301991773678
Chi4v,3.42301991773678
MolMR,86.40470000000003
MolWt,304.394
fr_SH,0
Kappa1,15.061393179073523
Kappa2,6.103234860889733
Kappa3,2.401272703146137
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,777.7653189463257
MolLogP,2.3639
NOCount,6
