DLiP-ID,C004MZ
DLiP-Mol-ID,35513
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27Cl2NO4/c1-4-21(15(2)29)28-23(16-8-10-18(26)11-9-16)20(17-6-5-7-19(27)12-17)13-25(3,24(28)32)14-22(30)31/h5-12,20-21,23H,4,13-14H2,1-3H3,(H,30,31)/t20-,21+,23-,25-/m0/s1"
Standard Inchi Key(RDKit),SFSJJJYPISQXQI-UPPNCUKMSA-N
Canonical SMILES(RDKit),CC[C@H](C(C)=O)N1C(=O)[C@](C)(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),476.4
MW Monoisotopic(RDKit),475.131713704
MolLogP(RDKit),5.89920000000001
XLogP(SDF),
XLogP(CDK),4.767
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),74.68
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.540169477434238
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,8341771.17260302
qed,0.5401694774342385
Chi0,23.629027554137902
Chi1,15.068405109731119
TPSA,74.68
Chi0n,18.34727431305549
Chi0v,19.8591322050924
Chi1n,10.630304964803008
Chi1v,11.386233910821463
Chi2n,8.740305837783254
Chi2v,9.613177398727222
Chi3n,6.3235639734238065
Chi3v,6.8106373915510305
Chi4n,4.90338716160178
Chi4v,5.228102773686597
MolMR,124.96880000000003
MolWt,476.4000000000001
fr_SH,0
Kappa1,24.27593487235682
Kappa2,9.63433969261183
Kappa3,4.8394874874434315
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1022.8569043053499
MolLogP,5.899200000000006
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.2595624471761466
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.41499046939678
SMR_VSA5,58.03526417230722
SMR_VSA6,0.0
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.87207983548168
NHOHCount,1
PEOE_VSA1,10.006437125691184
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,61.31482245369272
PEOE_VSA7,55.157751702783074
PEOE_VSA8,15.963172673644046
PEOE_VSA9,23.91949375061871
RingCount,3
SMR_VSA10,40.861609744133325
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,475.131713704
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,5.783244946364939
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,33.708007918507434
SlogP_VSA3,14.383611552215466
SlogP_VSA4,5.41499046939678
SlogP_VSA5,63.12032632655324
SlogP_VSA6,48.53093654769288
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.46797741564455
EState_VSA2,24.029152344803848
EState_VSA3,22.886909873334673
EState_VSA4,11.126902983393991
EState_VSA5,6.923737199690624
EState_VSA6,30.02274813592593
EState_VSA7,37.255572541998674
EState_VSA8,0.0
EState_VSA9,23.20187978046503
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
