DLiP-ID,C000FP
DLiP-Mol-ID,30752
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H17NO3/c1-3-9-22-13-5-7-15-16-8-6-14(23-10-4-2)12-18(16)19(20-21)17(15)11-13/h3-8,11-12,21H,1-2,9-10H2"
Standard Inchi Key(RDKit),ZHWDTAIBCPAVJB-UHFFFAOYSA-N
Canonical SMILES(RDKit),C=CCOc1ccc2c(c1)C(=NO)c1cc(OCC=C)ccc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),307.349
MW Monoisotopic(RDKit),307.120843404
MolLogP(RDKit),4.0232
XLogP(SDF),
XLogP(CDK),4.797
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.424900732319844
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,261211.6697826123
qed,0.42490073231984404
Chi0,16.233840039752504
Chi1,11.278718205328806
TPSA,51.05
Chi0n,12.658153050190842
Chi0v,12.658153050190842
Chi1n,7.268266262684091
Chi1v,7.268266262684091
Chi2n,5.0627457286328506
Chi2v,5.0627457286328506
Chi3n,3.6181811580107803
Chi3v,3.6181811580107803
Chi4n,2.6509844959829816
Chi4v,2.6509844959829816
MolMR,90.68750000000001
MolWt,307.34900000000005
fr_SH,0
Kappa1,14.907755621276447
Kappa2,6.399471937204864
Kappa3,2.7081937790527264
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,729.6968890284135
MolLogP,4.023200000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0188083962577523
SMR_VSA1,14.68097893237739
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.15571272675054
SMR_VSA5,0.0
SMR_VSA6,13.213763929025836
SMR_VSA7,72.83501697502841
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,1
fr_quatN,0
LabuteASA,134.5287401049874
NHOHCount,1
PEOE_VSA1,14.68097893237739
