DLiP-ID,C000HQ
DLiP-Mol-ID,30839
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H12O9/c1-5-3-8(20)7(4-19)14-9(5)16(22)26-13-6(2)12(21)10-11(15(13)25-14)18(24)27-17(10)23/h3-4,18,20-21,24H,1-2H3"
Standard Inchi Key(RDKit),IEVVSJFLBYOUCJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(C)c(O)c3c(c1O2)C(O)OC3=O
SMILES(SDF),
MW(SDF),
MW(RDKit),372.285
MW Monoisotopic(RDKit),372.048131964
MolLogP(RDKit),2.01334
XLogP(SDF),
XLogP(CDK),1.846
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),139.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.389418253431805
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1133302.041163558
qed,0.3894182534318046
Chi0,19.6184376745875
Chi1,12.75612661302203
TPSA,139.59
Chi0n,14.02318133685193
Chi0v,14.02318133685193
Chi1n,7.7603865610409235
Chi1v,7.7603865610409235
Chi2n,6.118021376039264
Chi2v,6.118021376039264
Chi3n,4.538598915459094
Chi3v,4.538598915459094
Chi4n,3.218894768765521
Chi4v,3.218894768765521
MolMR,86.48290000000001
MolWt,372.28500000000014
fr_SH,0
Kappa1,16.855759433028318
Kappa2,5.45124397211016
Kappa3,2.116707777208478
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1067.7226987489744
