DLiP-ID,I001FK
DLiP-Mol-ID,29882
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H8N4O5/c16-10(8-9(11(17)18)13-5-12-8)14-6-1-3-7(4-2-6)15(19)20/h1-5H,(H,12,13)(H,14,16)(H,17,18)"
Standard Inchi Key(RDKit),YJUBHURCCLOHSI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc([N+](=O)[O-])cc1)c1nc[nH]c1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),276.208
MW Monoisotopic(RDKit),276.049469356
MolLogP(RDKit),1.2684
XLogP(SDF),
XLogP(CDK),1.206
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),138.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.567300063158216
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,37967.75104124729
qed,0.5673000631582163
Chi0,14.698306133819765
Chi1,9.486071002992368
TPSA,138.21999999999997
Chi0n,9.861385294303458
Chi0v,9.861385294303458
Chi1n,5.312458284771805
Chi1v,5.312458284771805
Chi2n,3.6894037738619847
Chi2v,3.6894037738619847
Chi3n,2.4042734351911053
Chi3v,2.4042734351911053
Chi4n,1.4862420669165959
Chi4v,1.4862420669165959
MolMR,66.59660000000001
MolWt,276.208
fr_SH,0
Kappa1,13.207529629680065
Kappa2,5.180406586186963
Kappa3,2.607927374831788
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
