DLiP-ID,C000EZ
DLiP-Mol-ID,30726
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21N3O2/c1-3-21(4-2)16-9-5-14(6-10-16)13-19-20-18(23)15-7-11-17(22)12-8-15/h5-13,22H,3-4H2,1-2H3,(H,20,23)/b19-13+"
Standard Inchi Key(RDKit),WLKOCYWYAWBGKY-CPNJWEJPSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),311.385
MW Monoisotopic(RDKit),311.163376912
MolLogP(RDKit),3.0023
XLogP(SDF),
XLogP(CDK),4.643
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),64.93
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.636489913746326
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,162406.00162457
qed,0.6364899137463259
Chi0,16.656489770562878
Chi1,11.13456025298537
TPSA,64.93
Chi0n,13.360255062043468
Chi0v,13.360255062043468
Chi1n,7.611222067322451
Chi1v,7.611222067322451
Chi2n,5.009822777077045
Chi2v,5.009822777077045
Chi3n,3.530887165601246
Chi3v,3.530887165601246
Chi4n,2.202754028096221
Chi4v,2.202754028096221
MolMR,93.17000000000003
MolWt,311.385
fr_SH,0
Kappa1,16.548798044728354
Kappa2,7.982784089506724
Kappa3,4.574074686473948
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,659.6709828705706
MolLogP,3.002300000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9479235670527626
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,5.101407525739723
SMR_VSA5,13.847474399381248
SMR_VSA6,17.98942254267563
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,135.80906022408695
NHOHCount,2
PEOE_VSA1,10.006437125691184
PEOE_VSA2,4.794537184071822
PEOE_VSA3,5.425791397110385
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,55.8091283018479
PEOE_VSA8,24.340350578205708
PEOE_VSA9,6.2146005795353165
RingCount,2
SMR_VSA10,17.809166583570384
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,311.163376912
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.325701127960862
SlogP_VSA2,30.317820515552675
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,29.76891456684706
SlogP_VSA6,53.6323440734326
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,1
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
