DLiP-ID,C100PK
DLiP-Mol-ID,35966
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15N5O2/c1-19(2)13-6-4-7-14(10-13)20-11-16(17-18-20)12-5-3-8-15(9-12)21(22)23/h3-11H,1-2H3"
Standard Inchi Key(RDKit),JXIHYINCPWIRPL-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1cccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),309.329
MW Monoisotopic(RDKit),309.12257472
MolLogP(RDKit),2.9085
XLogP(SDF),
XLogP(CDK),3.58
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),77.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.546804277350108
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,243703.62718309296
qed,0.5468042773501082
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,77.09
Chi0n,12.748716981134152
Chi0v,12.748716981134152
Chi1n,6.993611188103755
Chi1v,6.993611188103755
Chi2n,5.270069501040213
Chi2v,5.270069501040213
Chi3n,3.4568024510254873
Chi3v,3.4568024510254873
Chi4n,2.214780482776461
Chi4v,2.214780482776461
MolMR,87.77640000000002
MolWt,309.329
fr_SH,0
Kappa1,14.706242135858965
Kappa2,5.878294164451086
Kappa3,3.0293024048785493
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,856.9367500990544
MolLogP,2.908500000000001
NOCount,7
