DLiP-ID,T0027X
DLiP-Mol-ID,18332
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H26N4O5/c28-20(6-2-1-5-16-9-7-14-4-3-11-24-22(14)25-16)26-18(13-21(29)30)15-8-10-17-19(12-15)32-23(31)27-17/h7-10,12,18H,1-6,11,13H2,(H,24,25)(H,26,28)(H,27,31)(H,29,30)/t18-/m0/s1"
Standard Inchi Key(RDKit),HMSRWRARJSOMMA-SFHVURJKSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)CCCCc1ccc2c(n1)NCCC2)c1ccc2nc(O)oc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),438.484
MW Monoisotopic(RDKit),438.190319932
MolLogP(RDKit),3.3315
XLogP(SDF),
XLogP(CDK),2.163
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),137.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.373373520880183
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,20772091.27873947
qed,0.3733735208801834
Chi0,22.501424753254113
Chi1,15.474366886035765
TPSA,137.58
Chi0n,17.63455511802156
Chi0v,17.63455511802156
Chi1n,10.810220354283
Chi1v,10.810220354283
